gem_id,meaning_representation,target,references
viggo-train-12,"inform(name[Dirt: Showdown], genres[driving/racing, sport], player_perspective[first person, third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], available_on_steam[no])","The multiplayer sport racing game, Dirt: Showdown, offers both first and third person perspectives. The game is available on PlayStation, Xbox and PC but not on Steam.","['The multiplayer sport racing game, Dirt: Showdown, offers both first and third person perspectives. The game is available on PlayStation, Xbox and PC but not on Steam.']"
viggo-train-13,"inform(name[Dirt: Showdown], genres[driving/racing, sport], player_perspective[first person, third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], available_on_steam[no])","Dirt: Showdown is a multiplayer sport racing game for PlayStation, Xbox, and PC only. There is no Steam release. You can play from both the first and third person perspective.","['Dirt: Showdown is a multiplayer sport racing game for PlayStation, Xbox, and PC only. There is no Steam release. You can play from both the first and third person perspective.']"
viggo-train-14,"inform(name[Dirt: Showdown], genres[driving/racing, sport], player_perspective[first person, third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], available_on_steam[no])","Dirt: Showdown is a sport racing game that is available for PlayStation, Xbox, and PC. It is not available on Steam. The game has multiplayer available, and can be played either from a first person or a third person perspective.","['Dirt: Showdown is a sport racing game that is available for PlayStation, Xbox, and PC. It is not available on Steam. The game has multiplayer available, and can be played either from a first person or a third person perspective.']"
viggo-train-15,"confirm(name[Layers of Fear], genres[adventure, indie, point-and-click], player_perspective[first person])","Are you referring to Layers of Fear, the first person indie point-and-click adventure game?","['Are you referring to Layers of Fear, the first person indie point-and-click adventure game?']"
viggo-train-16,"confirm(name[Layers of Fear], genres[adventure, indie, point-and-click], player_perspective[first person])",Is the Layers of Fear you mentioned the first person indie point-and-click adventure game?,['Is the Layers of Fear you mentioned the first person indie point-and-click adventure game?']
viggo-train-17,"confirm(name[Layers of Fear], genres[adventure, indie, point-and-click], player_perspective[first person])","Layers of Fear, the indie first person point-and-click adventure game?","['Layers of Fear, the indie first person point-and-click adventure game?']"
viggo-train-18,"inform(name[Driver], developer[Reflections Interactive], rating[average], genres[driving/racing, simulation], has_multiplayer[no], platforms[PlayStation, PC], available_on_steam[no])","Driver is a driving simulator that was released on PlayStation and PC by the developer Reflections Interactive with average reviews. There's no multiplayer, and it's not available on Steam.","[""Driver is a driving simulator that was released on PlayStation and PC by the developer Reflections Interactive with average reviews. There's no multiplayer, and it's not available on Steam.""]"
viggo-train-19,"inform(name[Driver], developer[Reflections Interactive], rating[average], genres[driving/racing, simulation], has_multiplayer[no], platforms[PlayStation, PC], available_on_steam[no])","Driver is a driving simulation game developed by Reflections Interactive which received average reviews. It has no multiplayer, but is available on PlayStation and PC. The game is not available on Steam.","['Driver is a driving simulation game developed by Reflections Interactive which received average reviews. It has no multiplayer, but is available on PlayStation and PC. The game is not available on Steam.']"
viggo-train-20,"inform(name[Driver], developer[Reflections Interactive], rating[average], genres[driving/racing, simulation], has_multiplayer[no], platforms[PlayStation, PC], available_on_steam[no])","Driver, by Reflections Interactive, is a single-player driving simulator with average ratings. It is available on PlayStation and PC. It is not available on Steam.","['Driver, by Reflections Interactive, is a single-player driving simulator with average ratings. It is available on PlayStation and PC. It is not available on Steam.']"
viggo-train-21,"inform(name[SpellForce 3], release_year[2017], rating[poor], genres[real-time strategy, role-playing], platforms[PC], available_on_steam[yes])",SpellForce 3 is a poor real-time strategy that came out in 2017 for PC only. The role-playing game is also on Steam.,['SpellForce 3 is a poor real-time strategy that came out in 2017 for PC only. The role-playing game is also on Steam.']
viggo-train-22,"inform(name[SpellForce 3], release_year[2017], rating[poor], genres[real-time strategy, role-playing], platforms[PC], available_on_steam[yes])","SpellForce 3 is a real-time strategy, role-playing PC game available on Steam. It was released in 2017 and is rated poorly.","['SpellForce 3 is a real-time strategy, role-playing PC game available on Steam. It was released in 2017 and is rated poorly.']"
viggo-train-23,"inform(name[SpellForce 3], release_year[2017], rating[poor], genres[real-time strategy, role-playing], platforms[PC], available_on_steam[yes])",SpellForce 3 is a poorly-rated role-playing real-time strategy game. It was released in 2017 for PC. You can get it through Steam.,['SpellForce 3 is a poorly-rated role-playing real-time strategy game. It was released in 2017 for PC. You can get it through Steam.']
viggo-train-24,"verify_attribute(name[Uncharted 4: A Thief's End], rating[excellent], has_multiplayer[yes])","Is playing multiplayer games something you're always up to, or was Uncharted 4: A Thief's End an unusually good one?","[""Is playing multiplayer games something you're always up to, or was Uncharted 4: A Thief's End an unusually good one?""]"
viggo-train-25,"verify_attribute(name[Uncharted 4: A Thief's End], rating[excellent], has_multiplayer[yes])",I know you thought that Uncharted 4: A Thief's End was a truly excellent game. Do you also love other games that have a multiplayer option?,"[""I know you thought that Uncharted 4: A Thief's End was a truly excellent game. Do you also love other games that have a multiplayer option?""]"
viggo-train-26,"verify_attribute(name[Uncharted 4: A Thief's End], rating[excellent], has_multiplayer[yes])",You've told me before that you love Uncharted 4: A Thief's End. Is that because you enjoy multiplayer games?,"[""You've told me before that you love Uncharted 4: A Thief's End. Is that because you enjoy multiplayer games?""]"
viggo-train-27,"suggest(name[Worms: Reloaded], available_on_steam[yes])","I bet you like it when you can play games on Steam, like Worms: Reloaded, right?","['I bet you like it when you can play games on Steam, like Worms: Reloaded, right?']"
viggo-train-28,"suggest(name[Worms: Reloaded], available_on_steam[yes])","Have you ever played a game on Steam, such as Worms: Reloaded?","['Have you ever played a game on Steam, such as Worms: Reloaded?']"
viggo-train-29,"suggest(name[Worms: Reloaded], available_on_steam[yes])","Do you enjoy other games on Steam, I don't know, like Worms: Reloaded?","[""Do you enjoy other games on Steam, I don't know, like Worms: Reloaded?""]"
viggo-train-30,"verify_attribute(name[The Legend of Zelda: Ocarina of Time], esrb[E (for Everyone)], rating[excellent], platforms[Nintendo])",You said you loved The Legend of Zelda: Ocarina of Time. Do you often tend to play similar Nintendo games that are also rated E?,['You said you loved The Legend of Zelda: Ocarina of Time. Do you often tend to play similar Nintendo games that are also rated E?']
viggo-train-31,"verify_attribute(name[The Legend of Zelda: Ocarina of Time], esrb[E (for Everyone)], rating[excellent], platforms[Nintendo])",I recall you saying that you really enjoyed The Legend of Zelda: Ocarina of Time. Are you typically a big fan of games on Nintendo rated E (for Everyone)?,['I recall you saying that you really enjoyed The Legend of Zelda: Ocarina of Time. Are you typically a big fan of games on Nintendo rated E (for Everyone)?']
viggo-train-32,"verify_attribute(name[The Legend of Zelda: Ocarina of Time], esrb[E (for Everyone)], rating[excellent], platforms[Nintendo])","So since you mentioned that you absolutely loved The Legend of Zelda: Ocarina of Time, it got me curious about something. Do you also love Nintendo's lineup of other E rated games?","[""So since you mentioned that you absolutely loved The Legend of Zelda: Ocarina of Time, it got me curious about something. Do you also love Nintendo's lineup of other E rated games?""]"
viggo-train-33,"request_explanation(release_year[2005], rating[excellent])",So what is it about the games that were released in 2005 that you find so excellent?,['So what is it about the games that were released in 2005 that you find so excellent?']
viggo-train-34,"request_explanation(release_year[2005], rating[excellent])",What is it about 2005's games that you think are so great?,"[""What is it about 2005's games that you think are so great?""]"
viggo-train-35,"request_explanation(release_year[2005], rating[excellent])",What is it about games released in 2005 that makes you think it's such a fantastic year for video games?,"[""What is it about games released in 2005 that makes you think it's such a fantastic year for video games?""]"
viggo-train-36,"inform(name[Need for Speed: Payback], release_year[2017], genres[driving/racing], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","Need for Speed: Payback was released in 2017 on PlayStation, Xbox and PC. It wasn't released on Linux or Mac. It is a third person driving racing game that you can be play together with your friends.","[""Need for Speed: Payback was released in 2017 on PlayStation, Xbox and PC. It wasn't released on Linux or Mac. It is a third person driving racing game that you can be play together with your friends.""]"
viggo-train-37,"inform(name[Need for Speed: Payback], release_year[2017], genres[driving/racing], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","I have recently played Need for Speed: Payback, a third person racing game whose multiplayer mode allows you to play with your friends online. It was released for PlayStation, Xbox, and PC in 2017, but has no Linux or Mac release.","['I have recently played Need for Speed: Payback, a third person racing game whose multiplayer mode allows you to play with your friends online. It was released for PlayStation, Xbox, and PC in 2017, but has no Linux or Mac release.']"
viggo-train-38,"inform(name[Need for Speed: Payback], release_year[2017], genres[driving/racing], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","Need for Speed: Payback is a third person driving/racing game with a multiplayer mode. It came out in 2017 for PlayStation, Xbox, and PC, but it is not available on Mac or Linux.","['Need for Speed: Payback is a third person driving/racing game with a multiplayer mode. It came out in 2017 for PlayStation, Xbox, and PC, but it is not available on Mac or Linux.']"
viggo-train-39,"inform(name[Warcraft III: Reign of Chaos], release_year[2002], rating[excellent], genres[real-time strategy], player_perspective[bird view], has_multiplayer[yes])",Warcraft III: Reign of Chaos received excellent reviews when it was released in 2002. It really raised the bar for multiplayer bird's eye perspective RTS games.,"[""Warcraft III: Reign of Chaos received excellent reviews when it was released in 2002. It really raised the bar for multiplayer bird's eye perspective RTS games.""]"
viggo-train-40,"inform(name[Warcraft III: Reign of Chaos], release_year[2002], rating[excellent], genres[real-time strategy], player_perspective[bird view], has_multiplayer[yes])",Warcraft III: Reign of Chaos is an excellent multiplayer real-time strategy game with a bird's eye perspective. It came out in 2002.,"[""Warcraft III: Reign of Chaos is an excellent multiplayer real-time strategy game with a bird's eye perspective. It came out in 2002.""]"
viggo-train-41,"inform(name[Warcraft III: Reign of Chaos], release_year[2002], rating[excellent], genres[real-time strategy], player_perspective[bird view], has_multiplayer[yes])",Warcraft III: Reign of Chaos is a real-time strategy game with bird's eye view player perspective and multiplayer. It was released in 2002 and received excellent reviews.,"[""Warcraft III: Reign of Chaos is a real-time strategy game with bird's eye view player perspective and multiplayer. It was released in 2002 and received excellent reviews.""]"
viggo-train-42,"request_explanation(developer[Ninja Theory], rating[excellent], genres[adventure, hack-and-slash, indie])",What is it about Ninja Theory's indie hack-and-slash adventure games that you find so unique?,"[""What is it about Ninja Theory's indie hack-and-slash adventure games that you find so unique?""]"
viggo-train-43,"request_explanation(developer[Ninja Theory], rating[excellent], genres[adventure, hack-and-slash, indie])",Is there something special about Ninja Theory's indie hack-and-slash adventure games that makes you find them so appealing?,"[""Is there something special about Ninja Theory's indie hack-and-slash adventure games that makes you find them so appealing?""]"
viggo-train-44,"request_explanation(developer[Ninja Theory], rating[excellent], genres[adventure, hack-and-slash, indie])",Why do you think that Ninja Theory's indie hack-and-slash adventure games are some of the best you ever played?,"[""Why do you think that Ninja Theory's indie hack-and-slash adventure games are some of the best you ever played?""]"
viggo-train-45,"inform(name[Uncharted 4: A Thief's End], release_year[2016], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])","Uncharted 4: A Thief's End, by Naughty Dog came out 2016 with excellent ratings. It's an action-adventure third person shooter game exclusively for the PlayStation platform.","[""Uncharted 4: A Thief's End, by Naughty Dog came out 2016 with excellent ratings. It's an action-adventure third person shooter game exclusively for the PlayStation platform.""]"
viggo-train-46,"inform(name[Uncharted 4: A Thief's End], release_year[2016], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])","If you're looking for an excellent third person, action-adventure shooter, you should try Naughty Dog's Uncharted 4: A Thief's End from 2016. It's available on PlayStation.","[""If you're looking for an excellent third person, action-adventure shooter, you should try Naughty Dog's Uncharted 4: A Thief's End from 2016. It's available on PlayStation.""]"
viggo-train-47,"inform(name[Uncharted 4: A Thief's End], release_year[2016], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])","Uncharted 4: A Thief's End is an excellent third person action-adventure with shooter elements that came out in 2016. It was released as a PlayStation exclusive by the developer, Naughty Dog.","[""Uncharted 4: A Thief's End is an excellent third person action-adventure with shooter elements that came out in 2016. It was released as a PlayStation exclusive by the developer, Naughty Dog.""]"
viggo-train-48,"suggest(name[The Sims], genres[simulation, strategy], platforms[PC])","I'm curious, have you ever played any strategy simulators for the PC, such as The Sims?","[""I'm curious, have you ever played any strategy simulators for the PC, such as The Sims?""]"
viggo-train-49,"suggest(name[The Sims], genres[simulation, strategy], platforms[PC])","Do you like to play strategy simulation games on PC, like The Sims?","['Do you like to play strategy simulation games on PC, like The Sims?']"
viggo-train-50,"suggest(name[The Sims], genres[simulation, strategy], platforms[PC])",Do you also like PC simulation strategy games like The Sims?,['Do you also like PC simulation strategy games like The Sims?']
viggo-train-51,"request_explanation(rating[good], has_multiplayer[yes])",What about multiplayer games do you find enjoyable?,['What about multiplayer games do you find enjoyable?']
viggo-train-52,"request_explanation(rating[good], has_multiplayer[yes])",You like multiplayer games quite a bit. Can you tell me why that is?,['You like multiplayer games quite a bit. Can you tell me why that is?']
viggo-train-53,"request_explanation(rating[good], has_multiplayer[yes])","So I'm curious, why is it you seem to enjoy multiplayer games?","[""So I'm curious, why is it you seem to enjoy multiplayer games?""]"
viggo-train-54,"inform(name[Layers of Fear], developer[Bloober Team], rating[poor], genres[adventure, indie, point-and-click], player_perspective[first person])","Layers of Fear is an adventure point-and-click indie game that the Bloober Team developed with first person support, though it's received some poor ratings.","[""Layers of Fear is an adventure point-and-click indie game that the Bloober Team developed with first person support, though it's received some poor ratings.""]"
viggo-train-55,"inform(name[Layers of Fear], developer[Bloober Team], rating[poor], genres[adventure, indie, point-and-click], player_perspective[first person])","Layers of Fear is a poorly reviewed indie point-and-click, first person adventure game developed by Bloober Team.","['Layers of Fear is a poorly reviewed indie point-and-click, first person adventure game developed by Bloober Team.']"
viggo-train-56,"inform(name[Layers of Fear], developer[Bloober Team], rating[poor], genres[adventure, indie, point-and-click], player_perspective[first person])",Layers of Fear is a poor indie adventure game by Bloober Team. The point-and-click is in first person only.,['Layers of Fear is a poor indie adventure game by Bloober Team. The point-and-click is in first person only.']
viggo-train-57,"confirm(name[Worms: Reloaded], player_perspective[side view], available_on_steam[yes])","Are you talking about the side view game Worms: Reloaded, the one that is available on Steam?","['Are you talking about the side view game Worms: Reloaded, the one that is available on Steam?']"
viggo-train-58,"confirm(name[Worms: Reloaded], player_perspective[side view], available_on_steam[yes])","Do you mean the Worms: Reloaded with a side view, released on Steam?","['Do you mean the Worms: Reloaded with a side view, released on Steam?']"
viggo-train-59,"confirm(name[Worms: Reloaded], player_perspective[side view], available_on_steam[yes])",Is the Worms: Reloaded you mentioned the one on Steam with the side view perspective?,['Is the Worms: Reloaded you mentioned the one on Steam with the side view perspective?']
viggo-train-60,"inform(name[Super Mario World], release_year[1990], esrb[E (for Everyone)], rating[excellent], genres[platformer], player_perspective[side view], has_multiplayer[yes], platforms[Nintendo])",Super Mario World is an excellent platformer that came out in 1990 for Nintendo only. This game is rated E (for Everyone) and has a side view perspective. You can also play multiplayer.,['Super Mario World is an excellent platformer that came out in 1990 for Nintendo only. This game is rated E (for Everyone) and has a side view perspective. You can also play multiplayer.']
viggo-train-61,"inform(name[Super Mario World], release_year[1990], esrb[E (for Everyone)], rating[excellent], genres[platformer], player_perspective[side view], has_multiplayer[yes], platforms[Nintendo])","Super Mario World is an excellent 1990 Nintendo platformer. It is a side view game game with multiplayer, and it is rated E (for Everyone).","['Super Mario World is an excellent 1990 Nintendo platformer. It is a side view game game with multiplayer, and it is rated E (for Everyone).']"
viggo-train-62,"inform(name[Super Mario World], release_year[1990], esrb[E (for Everyone)], rating[excellent], genres[platformer], player_perspective[side view], has_multiplayer[yes], platforms[Nintendo])",Super Mario World is an excellent platformer game that is played in the side view. It was released in 1990 on Nintendo and is rated E (for Everyone). It can be played multiplayer.,['Super Mario World is an excellent platformer game that is played in the side view. It was released in 1990 on Nintendo and is rated E (for Everyone). It can be played multiplayer.']
viggo-train-63,"inform(name[Warcraft III: Reign of Chaos], rating[excellent], genres[real-time strategy], has_multiplayer[yes])",Warcraft III: Reign of Chaos is a multiplayer real-time strategy game that has received excellent ratings.,['Warcraft III: Reign of Chaos is a multiplayer real-time strategy game that has received excellent ratings.']
viggo-train-64,"inform(name[Warcraft III: Reign of Chaos], rating[excellent], genres[real-time strategy], has_multiplayer[yes])","For an excellent real-time strategy with multiplayer, check out Warcraft III: Reign of Chaos.","['For an excellent real-time strategy with multiplayer, check out Warcraft III: Reign of Chaos.']"
viggo-train-65,"inform(name[Warcraft III: Reign of Chaos], rating[excellent], genres[real-time strategy], has_multiplayer[yes])","Warcraft III: Reign of Chaos is an excellent multiplayer real-time strategy game, a must have for any gamer.","['Warcraft III: Reign of Chaos is an excellent multiplayer real-time strategy game, a must have for any gamer.']"
viggo-train-66,"inform(name[Nightshade], developer[Red Entertainment Corporation], genres[text adventure], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])",Red Entertainment Corporation put out a text adventure game called Nightshade. It is a PC only release that can be found on Steam. It currently doesn't support Linux or Mac though.,"[""Red Entertainment Corporation put out a text adventure game called Nightshade. It is a PC only release that can be found on Steam. It currently doesn't support Linux or Mac though.""]"
viggo-train-67,"inform(name[Nightshade], developer[Red Entertainment Corporation], genres[text adventure], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Red Entertainment Corporation developed Nightshade, a text adventure game for PC only. It is available on Steam, but there is no Linux or Mac release.","['Red Entertainment Corporation developed Nightshade, a text adventure game for PC only. It is available on Steam, but there is no Linux or Mac release.']"
viggo-train-68,"inform(name[Nightshade], developer[Red Entertainment Corporation], genres[text adventure], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])",Nightshade is a text adventure by Red Entertainment Corporation for PC only. This game is available on Steam and is not available for Linux or Mac.,['Nightshade is a text adventure by Red Entertainment Corporation for PC only. This game is available on Steam and is not available for Linux or Mac.']
viggo-train-69,"give_opinion(name[RollerCoaster Tycoon], rating[good], genres[simulation, strategy], has_mac_release[no])","RollerCoaster Tycoon is a pretty fun game. I enjoy strategy simulators like it and would even call it great, but its lack of a Mac release holds it back a tiny bit.","['RollerCoaster Tycoon is a pretty fun game. I enjoy strategy simulators like it and would even call it great, but its lack of a Mac release holds it back a tiny bit.']"
viggo-train-70,"give_opinion(name[RollerCoaster Tycoon], rating[good], genres[simulation, strategy], has_mac_release[no])","RollerCoaster Tycoon is a pretty good single-player strategy simulation game. My only tiny gripe with it is that it doesn't run on Mac, so I have to sit at my desktop computer to play it.","[""RollerCoaster Tycoon is a pretty good single-player strategy simulation game. My only tiny gripe with it is that it doesn't run on Mac, so I have to sit at my desktop computer to play it.""]"
viggo-train-71,"give_opinion(name[RollerCoaster Tycoon], rating[good], genres[simulation, strategy], has_mac_release[no])","I love strategy simulators, so RollerCoaster Tycoon would be a truly excellent game if only it had a Mac release. It's still pretty good without one though.","[""I love strategy simulators, so RollerCoaster Tycoon would be a truly excellent game if only it had a Mac release. It's still pretty good without one though.""]"
viggo-train-72,"inform(name[The Vanishing of Ethan Carter], release_year[2014], developer[The Astronauts], esrb[M (for Mature)], genres[adventure, indie], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","The Vanishing of Ethan Carter is a game released on Steam in 2014 by The Astronauts. It is an indie adventure game viewed in first person. It is rated M (for Mature) by ESRB and available on PlayStation, Xbox and PC via Steam.","['The Vanishing of Ethan Carter is a game released on Steam in 2014 by The Astronauts. It is an indie adventure game viewed in first person. It is rated M (for Mature) by ESRB and available on PlayStation, Xbox and PC via Steam.']"
viggo-train-73,"inform(name[The Vanishing of Ethan Carter], release_year[2014], developer[The Astronauts], esrb[M (for Mature)], genres[adventure, indie], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","You can get The Vanishing of Ethan Carter by The Astronauts on Steam, PlayStation, Xbox, and PC. It is a first person, indie, adventure game rated M from 2014.","['You can get The Vanishing of Ethan Carter by The Astronauts on Steam, PlayStation, Xbox, and PC. It is a first person, indie, adventure game rated M from 2014.']"
viggo-train-74,"inform(name[The Vanishing of Ethan Carter], release_year[2014], developer[The Astronauts], esrb[M (for Mature)], genres[adventure, indie], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","The Vanishing of Ethan Carter is a decent first person adventure game from 2014, rated M (for Mature). It was developed by the indie studio The Astronauts for PlayStation, Xbox and PC. Oh, and you can get in on Steam.","['The Vanishing of Ethan Carter is a decent first person adventure game from 2014, rated M (for Mature). It was developed by the indie studio The Astronauts for PlayStation, Xbox and PC. Oh, and you can get in on Steam.']"
viggo-train-75,"request(player_perspective[first person], specifier[oldest])",What's the oldest first person game you know of?,"[""What's the oldest first person game you know of?""]"
viggo-train-76,"request(player_perspective[first person], specifier[oldest])",What's the oldest game with a first person perspective that you ever played?,"[""What's the oldest game with a first person perspective that you ever played?""]"
viggo-train-77,"request(player_perspective[first person], specifier[oldest])","I'm curious, what's the oldest game you ever played that had a first person perspective?","[""I'm curious, what's the oldest game you ever played that had a first person perspective?""]"
viggo-train-78,"inform(name[A Way Out], rating[good], genres[action-adventure], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[no])","A Way Out is a good third person action-adventure game. It runs on PlayStation, Xbox, and PC, but it is not on Steam.","['A Way Out is a good third person action-adventure game. It runs on PlayStation, Xbox, and PC, but it is not on Steam.']"
viggo-train-79,"inform(name[A Way Out], rating[good], genres[action-adventure], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[no])","A Way Out is a good third person action-adventure game available on PlayStation, Xbox, and PC. It's not available on Steam.","[""A Way Out is a good third person action-adventure game available on PlayStation, Xbox, and PC. It's not available on Steam.""]"
viggo-train-80,"inform(name[A Way Out], rating[good], genres[action-adventure], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[no])","A Way Out is a good action-adventure game played in third person. It is playable on PlayStation, Xbox and PC but does not have a Steam release.","['A Way Out is a good action-adventure game played in third person. It is playable on PlayStation, Xbox and PC but does not have a Steam release.']"
viggo-train-81,"recommend(name[Sid Meier's Civilization V], available_on_steam[yes])",I know you got some Steam credits for your birthday. Have you tried Sid Meier's Civilization V yet?,"[""I know you got some Steam credits for your birthday. Have you tried Sid Meier's Civilization V yet?""]"
viggo-train-82,"recommend(name[Sid Meier's Civilization V], available_on_steam[yes])","Since you like to play your games on Steam, have you heard of Sid Meier's Civilization V?","[""Since you like to play your games on Steam, have you heard of Sid Meier's Civilization V?""]"
viggo-train-83,"recommend(name[Sid Meier's Civilization V], available_on_steam[yes])","If you like grabbing games on Steam, you should check out Sid Meier's Civilization V. Unless you've already played it?","[""If you like grabbing games on Steam, you should check out Sid Meier's Civilization V. Unless you've already played it?""]"
viggo-train-84,"verify_attribute(name[Tomb Raider: The Angel of Darkness], release_year[2003], developer[Core Design], rating[poor])",You said that you disliked Tomb Raider: The Angel of Darkness. Do you not really like to play games by Core Design from 2003 then?,['You said that you disliked Tomb Raider: The Angel of Darkness. Do you not really like to play games by Core Design from 2003 then?']
viggo-train-85,"verify_attribute(name[Tomb Raider: The Angel of Darkness], release_year[2003], developer[Core Design], rating[poor])","If I remember correctly, you did not like Tomb Raider: The Angel of Darkness. Did Core Design let go off their high standard in 2003, you think?","['If I remember correctly, you did not like Tomb Raider: The Angel of Darkness. Did Core Design let go off their high standard in 2003, you think?']"
viggo-train-86,"verify_attribute(name[Tomb Raider: The Angel of Darkness], release_year[2003], developer[Core Design], rating[poor])",You said earlier that you dislike Tomb Raider: The Angel of Darkness. Are you just not a fan of games from 2003 by Core Design?,['You said earlier that you dislike Tomb Raider: The Angel of Darkness. Are you just not a fan of games from 2003 by Core Design?']
