gem_id,meaning_representation,target,references
viggo-challenge_train_2_percent-15,"give_opinion(name[Metroid Prime Pinball], rating[average], genres[pinball, puzzle], has_multiplayer[yes])","I thought Metroid Prime Pinball was an okay game, but it's not my favorite. I generally enjoy multiplayer games, but it turns out that I'm not a big fan of puzzle pinball games.","[""I thought Metroid Prime Pinball was an okay game, but it's not my favorite. I generally enjoy multiplayer games, but it turns out that I'm not a big fan of puzzle pinball games.""]"
viggo-challenge_train_2_percent-16,"give_opinion(name[NBA 2K16], rating[good], genres[sport], has_multiplayer[yes])","I'm always down for another multiplayer sport game, so I found playing NBA 2K16 to be a pretty fun time.","[""I'm always down for another multiplayer sport game, so I found playing NBA 2K16 to be a pretty fun time.""]"
viggo-challenge_train_2_percent-17,"inform(name[Metroid Prime Pinball], developer[Fuse Games], esrb[E (for Everyone)], rating[average], genres[pinball, puzzle], platforms[Nintendo])","Metroid Prime Pinball by Fuse Games is an E (for Everyone) pinball-puzzle game. It runs on Nintendo, and it has average ratings.","['Metroid Prime Pinball by Fuse Games is an E (for Everyone) pinball-puzzle game. It runs on Nintendo, and it has average ratings.']"
viggo-challenge_train_2_percent-18,"inform(name[World of Warcraft], esrb[T (for Teen)], rating[good], genres[adventure, MMORPG], platforms[PC], has_linux_release[no], has_mac_release[yes])","You'd like World of Warcraft, it's a good adventure MMORPG rated T (for Teen) on the PC. There's no Linux release, but there is a Mac release.","[""You'd like World of Warcraft, it's a good adventure MMORPG rated T (for Teen) on the PC. There's no Linux release, but there is a Mac release.""]"
viggo-challenge_train_2_percent-19,"inform(name[Tomb Raider: The Last Revelation], release_year[1999], esrb[T (for Teen)], genres[action-adventure, puzzle, shooter], player_perspective[third person], has_multiplayer[no])",Tomb Raider: The Last Revelation is a third person action-adventure puzzle shooter with no multiplayer. It was released in 1999 and is rated T (for Teen).,['Tomb Raider: The Last Revelation is a third person action-adventure puzzle shooter with no multiplayer. It was released in 1999 and is rated T (for Teen).']
viggo-challenge_train_2_percent-20,"inform(name[Transport Tycoon], rating[average], genres[simulation, strategy], player_perspective[bird view], has_multiplayer[no])",Transport Tycoon is an average bird view simulation strategy with no multiplayer.,['Transport Tycoon is an average bird view simulation strategy with no multiplayer.']
viggo-challenge_train_2_percent-21,"inform(name[The Sims], release_year[2000], esrb[T (for Teen)], genres[simulation, strategy], player_perspective[bird view], has_multiplayer[no])","The Sims was released in 2000, with a rating of T (for Teen). It is a simulation, strategy game that is played from a bird view. There is no multiplayer option.","['The Sims was released in 2000, with a rating of T (for Teen). It is a simulation, strategy game that is played from a bird view. There is no multiplayer option.']"
viggo-challenge_train_2_percent-22,"inform(name[Bus Driver], esrb[E (for Everyone)], rating[poor], genres[driving/racing, indie, simulation], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Bus Driver is a poor indie driving simulation game. The game is rated E (for Everyone) and is for PC only. This game is available on Steam, but not for Mac or Linux.","['Bus Driver is a poor indie driving simulation game. The game is rated E (for Everyone) and is for PC only. This game is available on Steam, but not for Mac or Linux.']"
viggo-challenge_train_2_percent-23,"inform(name[Mass Effect 2], release_year[2010], rating[excellent], genres[action-adventure, role-playing, shooter], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Mass Effect 2 was a great start to 2010, getting excellent reviews for its smooth mix of shooting, role-playing, action and adventure. It's available on PlayStation, Xbox, and PC (via Steam), though sadly not on Linux or Mac.","[""Mass Effect 2 was a great start to 2010, getting excellent reviews for its smooth mix of shooting, role-playing, action and adventure. It's available on PlayStation, Xbox, and PC (via Steam), though sadly not on Linux or Mac.""]"
viggo-challenge_train_2_percent-24,"inform(name[BioShock], release_year[2007], developer[2K Boston], genres[action-adventure, role-playing, shooter], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[yes])","BioShock is an action-adventure, role-playing shooter that was developed by 2K Boston. It was released in 2007 for the PlayStation, Xbox, and PC. It is available on Steam and has a Mac release, but it doesn't have a Linux release.","[""BioShock is an action-adventure, role-playing shooter that was developed by 2K Boston. It was released in 2007 for the PlayStation, Xbox, and PC. It is available on Steam and has a Mac release, but it doesn't have a Linux release.""]"
viggo-challenge_train_2_percent-25,"inform(name[Assetto Corsa], rating[good], genres[driving/racing, simulation, sport], player_perspective[first person, third person], has_multiplayer[yes])",Assetto Corsa is a good sport racing simulation game that offers multiplayer. It can be played in either first person or third person view.,['Assetto Corsa is a good sport racing simulation game that offers multiplayer. It can be played in either first person or third person view.']
viggo-challenge_train_2_percent-26,"inform(name[Super Mario World], rating[excellent], genres[platformer], player_perspective[side view], has_multiplayer[yes])",Super Mario World is an excellent side view platformer with a multiplayer mode.,['Super Mario World is an excellent side view platformer with a multiplayer mode.']
viggo-challenge_train_2_percent-27,"inform(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter], player_perspective[third person])",Uncharted 4: A Thief's End by Naughty Dog is an excellent third person action-adventure shooter.,"[""Uncharted 4: A Thief's End by Naughty Dog is an excellent third person action-adventure shooter.""]"
viggo-challenge_train_2_percent-28,"inform(name[Mass Effect 2], release_year[2010], developer[BioWare], esrb[M (for Mature)], genres[action-adventure, role-playing, shooter], player_perspective[third person], platforms[PlayStation, Xbox, PC])","Another action-adventure role-playing shooter game was Mass Effect 2 from BioWare. It was released in 2010 for PlayStation, Xbox and PC. You play the game from the third person perspective, and it is rated M (for Mature).","['Another action-adventure role-playing shooter game was Mass Effect 2 from BioWare. It was released in 2010 for PlayStation, Xbox and PC. You play the game from the third person perspective, and it is rated M (for Mature).']"
viggo-challenge_train_2_percent-29,"inform(name[StarCraft], release_year[1998], rating[good], genres[real-time strategy], player_perspective[bird view], has_multiplayer[yes])",StarCraft is a pretty good bird view real-time strategy game. It was originally released in 1998 and has multiplayer.,['StarCraft is a pretty good bird view real-time strategy game. It was originally released in 1998 and has multiplayer.']
viggo-challenge_train_2_percent-30,"inform(name[Rocket League], rating[good], genres[sport, vehicular combat], has_multiplayer[yes])",Rocket League is a sports and vehicular combat game with a good rating and multiplayer mode.,['Rocket League is a sports and vehicular combat game with a good rating and multiplayer mode.']
viggo-challenge_train_2_percent-31,"inform(name[Small World 2], rating[poor], genres[indie, trivia/board game], has_multiplayer[yes], platforms[PC], has_linux_release[yes], has_mac_release[yes])","Small World 2 is an indie trivia/board game with multiplayer developed for PC, Linux, and Mac. It received poor reviews.","['Small World 2 is an indie trivia/board game with multiplayer developed for PC, Linux, and Mac. It received poor reviews.']"
viggo-challenge_train_2_percent-32,"inform(name[The Elder Scrolls V: Skyrim], release_year[2011], esrb[M (for Mature)], genres[adventure, role-playing])",The Elder Scrolls V: Skyrim is an adventure RPG that came out in 2011. It's rated M (for Mature).,"[""The Elder Scrolls V: Skyrim is an adventure RPG that came out in 2011. It's rated M (for Mature).""]"
viggo-challenge_train_2_percent-33,"inform(name[Warcraft III: Reign of Chaos], genres[real-time strategy], has_multiplayer[yes])",Warcraft III: Reign of Chaos is a real-time strategy game that can be played multiplayer.,['Warcraft III: Reign of Chaos is a real-time strategy game that can be played multiplayer.']
viggo-challenge_train_2_percent-34,"inform(name[NBA 2K16], rating[good], genres[sport])",NBA 2K16 is a good sports game.,['NBA 2K16 is a good sports game.']
viggo-challenge_train_2_percent-35,"inform(name[Lara Croft and the Temple of Osiris], release_year[2014], esrb[T (for Teen)], rating[average], genres[action-adventure, puzzle, shooter], has_multiplayer[yes])",Lara Croft and the Temple of Osiris is an average multiplayer action-adventure shooter that incorporates puzzle solving. It's a game from 2014 with a T (for Teen) rating.,"[""Lara Croft and the Temple of Osiris is an average multiplayer action-adventure shooter that incorporates puzzle solving. It's a game from 2014 with a T (for Teen) rating.""]"
viggo-challenge_train_2_percent-36,"inform(name[Mirror's Edge Catalyst], release_year[2016], developer[EA Digital Illusions CE], esrb[T (for Teen)], rating[average], genres[action-adventure, fighting], player_perspective[first person])",Mirror's Edge Catalyst by EA Digital Illusions CE is from 2016. It is an average action-adventure fighting game rated T (for Teen) and has first person view.,"[""Mirror's Edge Catalyst by EA Digital Illusions CE is from 2016. It is an average action-adventure fighting game rated T (for Teen) and has first person view.""]"
viggo-challenge_train_2_percent-37,"inform(name[Superhot], release_year[2016], rating[average], genres[indie, shooter, tactical], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","Superhot is an average indie tactical shooter from 2016. It runs on PlayStation, Xbox, and PC, and it is supported on both Mac and Linux systems. You can download the game from Steam.","['Superhot is an average indie tactical shooter from 2016. It runs on PlayStation, Xbox, and PC, and it is supported on both Mac and Linux systems. You can download the game from Steam.']"
viggo-challenge_train_2_percent-38,"inform(name[Guitar Hero: Smash Hits], rating[poor], genres[music], player_perspective[first person], platforms[PlayStation, Xbox, Nintendo])","Guitar Hero: Smash Hits is a poor first person music game. The game is available on either PlayStation, Xbox, or Nintendo.","['Guitar Hero: Smash Hits is a poor first person music game. The game is available on either PlayStation, Xbox, or Nintendo.']"
viggo-challenge_train_2_percent-39,"inform(name[Silent Hill 2], developer[Konami Computer Entertainment Tokyo], genres[action-adventure, puzzle], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[no])","Silent Hill 2 is an action-adventure puzzle game by Konami Computer Entertainment Tokyo. The game is played from a third person perspective. It was released for PlayStation, Xbox, and PC, but is not available on Steam.","['Silent Hill 2 is an action-adventure puzzle game by Konami Computer Entertainment Tokyo. The game is played from a third person perspective. It was released for PlayStation, Xbox, and PC, but is not available on Steam.']"
viggo-challenge_train_2_percent-40,"inform(name[Half-Life 2], release_year[2004], esrb[M (for Mature)], rating[excellent], genres[shooter], player_perspective[first person], has_multiplayer[no])","Half-Life 2 is an excellent FPS released in 2004. It does not have multiplayer, and is rated M (for Mature).","['Half-Life 2 is an excellent FPS released in 2004. It does not have multiplayer, and is rated M (for Mature).']"
viggo-challenge_train_2_percent-41,"inform(name[Need for Speed: Most Wanted], rating[good], genres[driving/racing], player_perspective[first person, third person], platforms[PlayStation, Xbox, Nintendo, PC], has_linux_release[no], has_mac_release[no])","Need for Speed: Most Wanted is a good first and third person racing game. It runs on PlayStation, Xbox, Nintendo, and PC, but it is not available for Mac or Linux.","['Need for Speed: Most Wanted is a good first and third person racing game. It runs on PlayStation, Xbox, Nintendo, and PC, but it is not available for Mac or Linux.']"
viggo-challenge_train_2_percent-42,"inform(name[Tom Clancy's The Division], developer[Massive Entertainment], esrb[M (for Mature)], genres[role-playing, shooter, tactical], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","Massive Entertainment developed the tactical shooter and role-playing game Tom Clancy's The Division. The game is for a mature audience and is available on PlayStation, Xbox, PC and Steam.","[""Massive Entertainment developed the tactical shooter and role-playing game Tom Clancy's The Division. The game is for a mature audience and is available on PlayStation, Xbox, PC and Steam.""]"
viggo-challenge_train_2_percent-43,"inform(name[The Forest of Doom], release_year[2014], developer[Tin Man Games], rating[average], genres[role-playing, text adventure], has_multiplayer[no])","The Forest of Doom is a role-playing text adventure game released in 2014 by Tin Man Games. It has an average rating, but no multiplayer.","['The Forest of Doom is a role-playing text adventure game released in 2014 by Tin Man Games. It has an average rating, but no multiplayer.']"
viggo-challenge_train_2_percent-44,"inform(name[Tom Clancy's The Division], developer[Massive Entertainment], rating[average], genres[role-playing, shooter, tactical], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","Tom Clancy's The Division by Massive Entertainment is an average third person tactical shooter RPG. It's on PlayStation, Xbox, and PC available through Steam.","[""Tom Clancy's The Division by Massive Entertainment is an average third person tactical shooter RPG. It's on PlayStation, Xbox, and PC available through Steam.""]"
viggo-challenge_train_2_percent-45,"inform(name[BioShock], release_year[2007], rating[good], genres[action-adventure, role-playing, shooter], player_perspective[first person], has_multiplayer[no])","BioShock, released in 2007, is a good action-adventure role-playing shooter played in first person. It is not a multiplayer game.","['BioShock, released in 2007, is a good action-adventure role-playing shooter played in first person. It is not a multiplayer game.']"
viggo-challenge_train_2_percent-46,"inform(name[Stronghold 2], release_year[2005], rating[average], genres[real-time strategy, simulation], player_perspective[bird view], platforms[PC], has_linux_release[no], has_mac_release[no])","Stronghold 2 is an average real-time strategy simulation game that came out in 2005 for PC only. The perspective is a bird view in the game, and there is no Linux or Mac release.","['Stronghold 2 is an average real-time strategy simulation game that came out in 2005 for PC only. The perspective is a bird view in the game, and there is no Linux or Mac release.']"
viggo-challenge_train_2_percent-47,"inform(name[TrackMania Turbo], rating[good], genres[arcade, driving/racing], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","TrackMania Turbo is a good arcade racing game. It can be played on PlayStation, Xbox, PC, and it is on Steam. It is not released on Linux or Mac.","['TrackMania Turbo is a good arcade racing game. It can be played on PlayStation, Xbox, PC, and it is on Steam. It is not released on Linux or Mac.']"
viggo-challenge_train_2_percent-48,"inform(name[The Room], rating[excellent], genres[indie, point-and-click, puzzle])","You should try the Room, it's an excellent point-and-click indie puzzle game.","[""You should try the Room, it's an excellent point-and-click indie puzzle game.""]"
viggo-challenge_train_2_percent-49,"inform(name[The Forest of Doom], developer[Tin Man Games], rating[average], genres[role-playing, text adventure], has_multiplayer[no], platforms[PC], has_linux_release[yes], has_mac_release[yes])","The Forest of Doom is a decent role-playing text adventure game that was developed by Tin Man Games. It is only available on PC, but has a Linux and a Mac release. It can only be played as a single-player game.","['The Forest of Doom is a decent role-playing text adventure game that was developed by Tin Man Games. It is only available on PC, but has a Linux and a Mac release. It can only be played as a single-player game.']"
viggo-challenge_train_2_percent-50,"inform(name[World of Warcraft], rating[good], genres[adventure, MMORPG], player_perspective[third person])",World of Warcraft is a good adventure MMORPG that you play from a third person perspective.,['World of Warcraft is a good adventure MMORPG that you play from a third person perspective.']
viggo-challenge_train_2_percent-51,"inform(name[Guitar Hero: Smash Hits], release_year[2009], esrb[T (for Teen)], rating[poor], genres[music], has_multiplayer[yes], platforms[PlayStation, Xbox, Nintendo])","Guitar Hero: Smash Hits is a poor music game from 2009. It has multiplayer and is available for PlayStation, Xbox, and Nintendo. The game is rated T (for Teen).","['Guitar Hero: Smash Hits is a poor music game from 2009. It has multiplayer and is available for PlayStation, Xbox, and Nintendo. The game is rated T (for Teen).']"
viggo-challenge_train_2_percent-52,"inform(name[NBA 2K16], developer[Visual Concepts], genres[sport], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","If you are interested in sport games that have multiplayer, try NBA 2K16 from Visual Concepts. You can get it on PlayStation, Xbox, and PC and is available on Steam.","['If you are interested in sport games that have multiplayer, try NBA 2K16 from Visual Concepts. You can get it on PlayStation, Xbox, and PC and is available on Steam.']"
viggo-challenge_train_2_percent-53,"inform(name[Mirror's Edge Catalyst], genres[action-adventure, fighting], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[yes], has_mac_release[no])","If you are into action-adventure fighting games, you should check out Mirror's Edge Catalyst. It's available for PlayStation, Xbox, and PC. It has a Linux release but isn't available on Steam or Mac.","[""If you are into action-adventure fighting games, you should check out Mirror's Edge Catalyst. It's available for PlayStation, Xbox, and PC. It has a Linux release but isn't available on Steam or Mac.""]"
viggo-challenge_train_2_percent-54,"inform(name[Transport Tycoon], genres[simulation, strategy], platforms[PC], available_on_steam[no])","The PC only simulation strategy, Transport Tycoon, is unfortunately not available on Steam.","['The PC only simulation strategy, Transport Tycoon, is unfortunately not available on Steam.']"
viggo-challenge_train_2_percent-55,"inform(name[Madden NFL 15], release_year[2014], rating[average], genres[simulation, sport], player_perspective[bird view, third person], platforms[PlayStation, Xbox])",Madden NFL 15 is a decent third person sports simulation game that allows you to play from a bird view perspective too. It was released in 2014 for PlayStation and Xbox consoles only.,['Madden NFL 15 is a decent third person sports simulation game that allows you to play from a bird view perspective too. It was released in 2014 for PlayStation and Xbox consoles only.']
viggo-challenge_train_2_percent-56,"inform(name[Need for Speed: Most Wanted], release_year[2005], esrb[T (for Teen)], rating[good], genres[driving/racing])",2005's Need for Speed: Most Wanted was a fun racing game that was rated T (for Teen).,"[""2005's Need for Speed: Most Wanted was a fun racing game that was rated T (for Teen).""]"
viggo-challenge_train_2_percent-57,"inform(name[Metroid Prime Pinball], release_year[2005], esrb[E (for Everyone)], rating[average], genres[pinball, puzzle], has_multiplayer[yes], platforms[Nintendo])","Metroid Prime Pinball was released in 2005 by Nintendo for those who enjoy puzzles and pinball. Rated E for everyone to enjoy, this otherwise average game can be played in multiplayer too.","['Metroid Prime Pinball was released in 2005 by Nintendo for those who enjoy puzzles and pinball. Rated E for everyone to enjoy, this otherwise average game can be played in multiplayer too.']"
viggo-challenge_train_2_percent-58,"inform(name[The Forest of Doom], developer[Tin Man Games], genres[role-playing, text adventure], has_multiplayer[no], platforms[PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","If you are into text adventure single-player RPGs you should check out The Forest of Doom. It is a game by Tin Man Games that is out for PC, Linux, and Mac through Steam.","['If you are into text adventure single-player RPGs you should check out The Forest of Doom. It is a game by Tin Man Games that is out for PC, Linux, and Mac through Steam.']"
viggo-challenge_train_2_percent-59,"inform(name[Grand Theft Auto V], developer[Rockstar North], esrb[M (for Mature)], rating[excellent], genres[action-adventure, driving/racing, shooter], player_perspective[first person, third person])",Grand Theft Auto V is an action-adventure driving racing shooter developed by Rockstar North. It has an M (for Mature) rating and received excellent reviews from players. The game offers both first and third person perspectives.,['Grand Theft Auto V is an action-adventure driving racing shooter developed by Rockstar North. It has an M (for Mature) rating and received excellent reviews from players. The game offers both first and third person perspectives.']
viggo-challenge_train_2_percent-60,"inform(name[FIFA 12], release_year[2011], esrb[E (for Everyone)], genres[simulation, sport], player_perspective[bird view, side view], has_multiplayer[yes])",FIFA 12 is a sports simulator played with a bird- and side view. It was released in 2011 with multiplayer features. It has an E content rating.,['FIFA 12 is a sports simulator played with a bird- and side view. It was released in 2011 with multiplayer features. It has an E content rating.']
viggo-challenge_train_2_percent-61,"inform(name[Mass Effect 2], release_year[2010], esrb[M (for Mature)], genres[action-adventure, role-playing, shooter], player_perspective[third person], has_multiplayer[no])","Also from 2010 is Mass Effect 2, rated M (for Mature). It's a third person action-adventure shooter RPG with no multiplayer.","[""Also from 2010 is Mass Effect 2, rated M (for Mature). It's a third person action-adventure shooter RPG with no multiplayer.""]"
viggo-challenge_train_2_percent-62,"inform(name[Tomb Raider: The Last Revelation], rating[good], genres[action-adventure, puzzle, shooter], player_perspective[third person], has_multiplayer[no], platforms[PlayStation, PC], available_on_steam[yes])",Tomb Raider: The Last Revelation is a good third person action-adventure shooter with puzzles that was released for PlayStation and PC and is currently available on Steam. It does not feature multiplayer.,['Tomb Raider: The Last Revelation is a good third person action-adventure shooter with puzzles that was released for PlayStation and PC and is currently available on Steam. It does not feature multiplayer.']
viggo-challenge_train_2_percent-63,"inform(name[The Witcher 3: Wild Hunt], rating[excellent], genres[action-adventure, role-playing], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Role-playing action-adventure enthusiasts will love the excellent title, The Witcher 3: Wild Hunt. The third person video game is supported by PlayStation, Xbox, PC and is available on Steam, but no Mac or Linux versions are on offer.","['Role-playing action-adventure enthusiasts will love the excellent title, The Witcher 3: Wild Hunt. The third person video game is supported by PlayStation, Xbox, PC and is available on Steam, but no Mac or Linux versions are on offer.']"
viggo-challenge_train_2_percent-64,"inform(name[Rollcage], genres[action, driving/racing], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[no])",Rollcage is an action racing game. It's available on PlayStation and PC but has no Linux or Mac releases.,"[""Rollcage is an action racing game. It's available on PlayStation and PC but has no Linux or Mac releases.""]"
viggo-challenge_train_2_percent-65,"recommend(name[Uncharted 4: A Thief's End], player_perspective[third person], platforms[PlayStation])",One of my favorite PlayStation games with a third person perspective is Uncharted 4: A Thief's End. Do you know of it?,"[""One of my favorite PlayStation games with a third person perspective is Uncharted 4: A Thief's End. Do you know of it?""]"
viggo-challenge_train_2_percent-66,"recommend(name[The Wolf Among Us], player_perspective[third person])","Speaking of third person perspective games, have you played The Wolf Among Us?","['Speaking of third person perspective games, have you played The Wolf Among Us?']"
viggo-challenge_train_2_percent-67,"recommend(name[NBA 2K16], player_perspective[third person])","Since you're into third person games, I bet you'd love NBA 2K16. Do you know anything about it?","[""Since you're into third person games, I bet you'd love NBA 2K16. Do you know anything about it?""]"
viggo-challenge_train_2_percent-68,"recommend(name[Metroid Prime Pinball], platforms[Nintendo])","And speaking of Nintendo games, have you heard of Metroid Prime Pinball?","['And speaking of Nintendo games, have you heard of Metroid Prime Pinball?']"
viggo-challenge_train_2_percent-69,"recommend(name[Resident Evil 4], genres[action-adventure, shooter], platforms[Nintendo])",Have you ever tried the Nintendo action-adventure shooting game Resident Evil 4?,['Have you ever tried the Nintendo action-adventure shooting game Resident Evil 4?']
viggo-challenge_train_2_percent-70,"recommend(name[The Wolf Among Us], developer[Telltale Games], genres[adventure, point-and-click])",I think my favorite out of all the point-and-click adventure games made by Telltale Games might actually be The Wolf Among Us. Have you played it?,['I think my favorite out of all the point-and-click adventure games made by Telltale Games might actually be The Wolf Among Us. Have you played it?']
viggo-challenge_train_2_percent-71,"request(esrb[E 10+ (for Everyone 10 and Older)], specifier[frightening])",Have you ever played a game that was rated E 10+ by the ESRB yet still managed to be genuinely frightening?,['Have you ever played a game that was rated E 10+ by the ESRB yet still managed to be genuinely frightening?']
viggo-challenge_train_2_percent-72,request(specifier[addictive]),Have you played a game recently that you found really addictive?,['Have you played a game recently that you found really addictive?']
viggo-challenge_train_2_percent-73,request(specifier[sad]),What's a really sad game you've played?,"[""What's a really sad game you've played?""]"
viggo-challenge_train_2_percent-74,"request(release_year[2017], specifier[bizarre])",Do you know of any bizarre games that came out in 2017?,['Do you know of any bizarre games that came out in 2017?']
viggo-challenge_train_2_percent-75,"request(has_linux_release[no], specifier[favorite])",What's your favorite game without a Linux release?,"[""What's your favorite game without a Linux release?""]"
viggo-challenge_train_2_percent-76,"request(developer[Hazelight Studios], specifier[classic])",What do you think is the most classic game made by Hazelight Studios?,['What do you think is the most classic game made by Hazelight Studios?']
viggo-challenge_train_2_percent-77,request(specifier[visually impressive]),Can you suggest a really visually impressive game?,['Can you suggest a really visually impressive game?']
viggo-challenge_train_2_percent-78,request_attribute(platforms[]),What gaming platform do you prefer?,['What gaming platform do you prefer?']
viggo-challenge_train_2_percent-79,request_attribute(developer[]),Do you like to play games from a specific developer?,['Do you like to play games from a specific developer?']
viggo-challenge_train_2_percent-80,"request_explanation(rating[average], genres[driving/racing, sport], player_perspective[first person])",Why do you find first person sport racing games to be okay but nothing spectacular?,['Why do you find first person sport racing games to be okay but nothing spectacular?']
viggo-challenge_train_2_percent-81,"request_explanation(release_year[2017], developer[Grimlore Games], rating[poor])",What is it about the games Grimlore Games released in 2017 that makes you say they're terrible?,"[""What is it about the games Grimlore Games released in 2017 that makes you say they're terrible?""]"
viggo-challenge_train_2_percent-82,"request_explanation(rating[good], genres[adventure, platformer, puzzle])","I'm curious, what is it about adventure puzzle platformers that you enjoy?","[""I'm curious, what is it about adventure puzzle platformers that you enjoy?""]"
viggo-challenge_train_2_percent-83,"request_explanation(release_year[2015], rating[good], platforms[PlayStation])",What is your favorite thing about 2015 PlayStation games?,['What is your favorite thing about 2015 PlayStation games?']
viggo-challenge_train_2_percent-84,"request_explanation(developer[Hudson Soft], rating[average], player_perspective[bird view])",I understand you are not too fond of bird's eye view games developed by Hudson Soft. Why is that though?,"[""I understand you are not too fond of bird's eye view games developed by Hudson Soft. Why is that though?""]"
