Utterance,Emotion,File_Name,Multi_Model_Predictions
Ill really appreciate it.,neutral,dia130_utt14.mp4,"{""video"": [0.3368, 0.0, 0.0, 0.2737, 0.3579, 0.0211, 0.0105], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0009, 0.0001, 0.0001, 0.9972, 0.0009, 0.0008, 0.0001]}"
Yeah?,surprise,dia130_utt16.mp4,"{""video"": [0.1343, 0.0, 0.0, 0.5149, 0.3209, 0.0149, 0.0149], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0003, 0.0, 0.0, 0.0008, 0.0026, 0.0004, 0.9958]}"
"Sorry, Pheebs.",sad,dia131_utt1.mp4,"{""video"": [0.1875, 0.0, 0.475, 0.0625, 0.175, 0.0375, 0.0625], ""audio"": [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0034, 0.0001, 0.0001, 0.8829, 0.1123, 0.0012, 0.0]}"
"No! Sorry, I just thought you were somebody else. Hi!",surprise,dia132_utt0.mp4,"{""video"": [0.0159, 0.0, 0.0, 0.0159, 0.5397, 0.4286, 0.0], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0007, 0.0002, 0.0027, 0.9771, 0.0038, 0.0144, 0.0011]}"
"Hi. Well, look, I was just gonna leave a message, isnt tonight your, your big anniversary dinner?",neutral,dia132_utt1.mp4,"{""video"": [0.0472, 0.0, 0.0, 0.6038, 0.0, 0.3491, 0.0], ""audio"": [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], ""text"": [0.0004, 0.0, 0.0001, 0.003, 0.9952, 0.0008, 0.0005]}"
"Yeah. Well, umm.....",sad,dia132_utt2.mp4,"{""video"": [0.1622, 0.0, 0.0, 0.027, 0.1892, 0.6216, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0005, 0.0001, 0.0001, 0.8432, 0.1554, 0.0004, 0.0003]}"
"No! Really, no, please, please, thats, thats okay.",sad,dia132_utt6.mp4,"{""video"": [0.5818, 0.0, 0.0, 0.2, 0.0, 0.2182, 0.0], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0029, 0.0014, 0.0317, 0.8834, 0.0575, 0.0121, 0.011]}"
Its for me.,neutral,dia132_utt9.mp4,"{""video"": [0.2344, 0.0, 0.0, 0.0, 0.0781, 0.6875, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.1367, 0.0008, 0.008, 0.1786, 0.6692, 0.0058, 0.0008]}"
"Oh. Okay, bye.",neutral,dia132_utt10.mp4,"{""video"": [0.1939, 0.0408, 0.0, 0.449, 0.0714, 0.2449, 0.0], ""audio"": [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], ""text"": [0.003, 0.0001, 0.0, 0.0005, 0.9907, 0.0018, 0.0038]}"
"Come on, pick up, pick up!",fear,dia133_utt0.mp4,"{""video"": [0.2857, 0.0, 0.0, 0.0306, 0.3571, 0.3265, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0024, 0.0004, 0.0001, 0.0114, 0.004, 0.9817, 0.0]}"
Hello?,neutral,dia134_utt0.mp4,"{""video"": [0.3295, 0.0, 0.0, 0.0227, 0.4432, 0.1932, 0.0114], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0016, 0.0005, 0.0025, 0.0334, 0.9569, 0.0044, 0.0008]}"
"I'm doing research for a book, and I was wondering what someone might do if they left a baby on a city bus.",neutral,dia135_utt2.mp4,"{""video"": [0.4559, 0.0, 0.0, 0.2206, 0.0882, 0.2353, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0002, 0.0001, 0.0001, 0.9887, 0.0103, 0.0005, 0.0001]}"
"It's white plastic, with a handle, and it fits onto a stroller.",neutral,dia135_utt6.mp4,"{""video"": [0.25, 0.0, 0.0588, 0.0294, 0.5294, 0.1029, 0.0294], ""audio"": [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0], ""text"": [0.0006, 0.0, 0.0, 0.0014, 0.9969, 0.0006, 0.0004]}"
"Let me start by uh, by introducing myself, I am Professor Geller.",neutral,dia136_utt4.mp4,"{""video"": [0.122, 0.0, 0.1057, 0.1057, 0.122, 0.4959, 0.0488], ""audio"": [0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0005, 0.0, 0.0001, 0.0733, 0.9258, 0.0003, 0.0]}"
"Good evening, sir.",neutral,dia137_utt0.mp4,"{""video"": [0.1061, 0.0, 0.0, 0.8182, 0.0, 0.0758, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0003, 0.0001, 0.0001, 0.9876, 0.0103, 0.0012, 0.0004]}"
And I-I realize that the competition is fierce butI'm sorry.,neutral,dia137_utt3.mp4,"{""video"": [0.5714, 0.0, 0.0084, 0.2185, 0.2017, 0.0, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0019, 0.0001, 0.0001, 0.9744, 0.0196, 0.0038, 0.0001]}"
"I, I can't help but notice you're naked and  I applaud you.",happy,dia137_utt4.mp4,"{""video"": [0.303, 0.0, 0.0, 0.0, 0.697, 0.0, 0.0], ""audio"": [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0], ""text"": [0.0575, 0.9325, 0.0028, 0.0015, 0.0014, 0.0035, 0.0007]}"
"I mean, this-this looks so great.",happy,dia137_utt6.mp4,"{""video"": [0.0244, 0.0, 0.0, 0.5244, 0.3537, 0.0976, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0002, 0.0001, 0.0002, 0.9971, 0.0014, 0.0003, 0.0007]}"
That is how God intended it.,neutral,dia137_utt7.mp4,"{""video"": [0.5079, 0.0, 0.0159, 0.0, 0.0794, 0.3968, 0.0], ""audio"": [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.001, 0.0001, 0.0005, 0.1607, 0.7896, 0.0339, 0.0142]}"
"Okay, I have to tell you something that I have never admitted during our entire friendship!",angry,dia138_utt0.mp4,"{""video"": [0.0411, 0.0, 0.1096, 0.0, 0.1644, 0.6027, 0.0822], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0011, 0.0001, 0.0004, 0.9906, 0.0073, 0.0005, 0.0001]}"
"But, when we were in high school I made out with James Farrell even when I knew that you liked him!",angry,dia138_utt1.mp4,"{""video"": [0.1782, 0.0, 0.0099, 0.0297, 0.297, 0.4851, 0.0], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.095, 0.0017, 0.0013, 0.0908, 0.781, 0.0291, 0.001]}"
"Wow, that feels so good to get off my chest!",happy,dia138_utt2.mp4,"{""video"": [0.3158, 0.0, 0.1895, 0.0211, 0.0105, 0.4632, 0.0], ""audio"": [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0135, 0.0511, 0.0009, 0.0077, 0.9212, 0.0045, 0.001]}"
My turn? What-what are you talking about?,surprise,dia138_utt4.mp4,"{""video"": [0.0, 0.0, 0.0, 0.9672, 0.0328, 0.0, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.005, 0.0001, 0.0003, 0.0021, 0.9895, 0.0013, 0.0018]}"
"Ugh, Monica, I know about you and Chandler.",disgust,dia138_utt5.mp4,"{""video"": [0.1585, 0.0, 0.0, 0.0, 0.8415, 0.0, 0.0], ""audio"": [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.002, 0.0005, 0.1361, 0.7037, 0.1318, 0.0212, 0.0047]}"
What?!,surprise,dia138_utt6.mp4,"{""video"": [0.1587, 0.0, 0.0, 0.0, 0.6984, 0.1429, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0004, 0.0001, 0.0002, 0.993, 0.0062, 0.0002, 0.0]}"
"I overheard you guys on the phone the other day, and you said, ""I'll just tell Rachel that I'm doing laundry for a couple of hours.""",neutral,dia138_utt7.mp4,"{""video"": [0.1509, 0.0189, 0.2453, 0.0377, 0.0755, 0.4717, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0001, 0.0, 0.0, 0.0016, 0.998, 0.0002, 0.0]}"
Well. Sounds like you're writing yourself a little play there Rach. Wow! Let me know how that one turns out.,happy,dia138_utt10.mp4,"{""video"": [0.1436, 0.0, 0.0387, 0.6851, 0.0552, 0.0773, 0.0], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0004, 0.0001, 0.0004, 0.9827, 0.0063, 0.0012, 0.0089]}"
"Well, I wouldn't know because I got so freaked out that I hung up the phone.",angry,dia138_utt11.mp4,"{""video"": [0.1867, 0.0, 0.0181, 0.1988, 0.2048, 0.3614, 0.0301], ""audio"": [0.6667, 0.0, 0.3333, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0047, 0.0003, 0.5172, 0.0109, 0.059, 0.0303, 0.3776]}"
What?!,surprise,dia138_utt13.mp4,"{""video"": [0.0066, 0.0, 0.0331, 0.3576, 0.245, 0.3576, 0.0], ""audio"": [0.0, 0.3333, 0.3333, 0.0, 0.3333, 0.0, 0.0], ""text"": [0.0071, 0.0003, 0.0048, 0.0035, 0.9452, 0.0372, 0.0018]}"
All right. So you're telling me that there is nothing going on between you and Chandler.,angry,dia138_utt15.mp4,"{""video"": [0.4178, 0.0, 0.0, 0.1315, 0.2535, 0.1972, 0.0], ""audio"": [0.25, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0018, 0.0002, 0.0881, 0.1137, 0.7485, 0.0469, 0.0008]}"
Me and Chandler?!,surprise,dia138_utt16.mp4,"{""video"": [0.9647, 0.0235, 0.0, 0.0, 0.0, 0.0118, 0.0], ""audio"": [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0], ""text"": [0.0009, 0.0005, 0.0004, 0.9921, 0.0042, 0.0009, 0.001]}"
All right everybody! Everybody guess what? I just convinced Paul to give us a test next week!,happy,dia139_utt3.mp4,"{""video"": [0.0, 0.0, 0.0, 0.4711, 0.2844, 0.2444, 0.0], ""audio"": [0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0013, 0.0002, 0.1843, 0.0016, 0.0169, 0.7949, 0.0008]}"
A test?!!,surprise,dia139_utt4.mp4,"{""video"": [0.0303, 0.0, 0.2273, 0.4848, 0.0909, 0.1061, 0.0606], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.9876, 0.0008, 0.0001, 0.0013, 0.0095, 0.0006, 0.0001]}"
Come on! Tests make us all better learners! Oh yeah!  We should have essay questions!!,happy,dia139_utt5.mp4,"{""video"": [0.8611, 0.0, 0.0, 0.0, 0.0, 0.1389, 0.0], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0044, 0.0001, 0.0038, 0.003, 0.9865, 0.002, 0.0001]}"
"Okay Ive got one for you, if you had too which one would you rather eat, a seeing eye dog or a talking gorilla?",neutral,dia140_utt0.mp4,"{""video"": [0.3169, 0.0, 0.169, 0.1549, 0.0775, 0.2817, 0.0], ""audio"": [0.3333, 0.3333, 0.3333, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0541, 0.0567, 0.1697, 0.0126, 0.3134, 0.3849, 0.0087]}"
"Id have to saythe talking gorilla, because at least I can explain to him that youre making me eat him.",neutral,dia140_utt1.mp4,"{""video"": [0.0593, 0.0, 0.0, 0.585, 0.0632, 0.2925, 0.0], ""audio"": [0.8, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0018, 0.0, 0.0, 0.0033, 0.9944, 0.0004, 0.0]}"
Somebody went to college. Wow.  What is it? Im sorry.,surprise,dia140_utt2.mp4,"{""video"": [0.3125, 0.0, 0.0, 0.3304, 0.0089, 0.3482, 0.0], ""audio"": [0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0609, 0.0014, 0.0011, 0.0167, 0.721, 0.0183, 0.1806]}"
"Okay, I hear you loud and clear. Bob will stay put.",neutral,dia141_utt0.mp4,"{""video"": [0.1053, 0.0, 0.0, 0.2, 0.2842, 0.4105, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0065, 0.001, 0.0012, 0.9678, 0.012, 0.0104, 0.0011]}"
"Yknow what you should do, just toss em in the shedder and claim you never got em.",neutral,dia141_utt5.mp4,"{""video"": [0.2143, 0.0, 0.0, 0.4571, 0.0286, 0.3, 0.0], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0006, 0.0001, 0.0001, 0.933, 0.0661, 0.0001, 0.0]}"
Thats a good one.,neutral,dia141_utt6.mp4,"{""video"": [0.0704, 0.0, 0.0, 0.446, 0.0516, 0.4319, 0.0], ""audio"": [0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.1054, 0.0003, 0.0004, 0.0057, 0.8767, 0.0099, 0.0017]}"
What does a guy have to,neutral,dia141_utt7.mp4,"{""video"": [0.2537, 0.0, 0.0, 0.3284, 0.0149, 0.3731, 0.0299], ""audio"": [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0002, 0.0, 0.0, 0.0011, 0.996, 0.0005, 0.0021]}"
"Hi, Julie!",happy,dia142_utt1.mp4,"{""video"": [0.0122, 0.0, 0.0, 0.8171, 0.0122, 0.1585, 0.0], ""audio"": [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0042, 0.0001, 0.0001, 0.0116, 0.98, 0.0037, 0.0002]}"
Oh shoot! I work Monday nights.,sad,dia143_utt2.mp4,"{""video"": [0.2061, 0.0, 0.0121, 0.1636, 0.303, 0.303, 0.0121], ""audio"": [0.6667, 0.0, 0.0, 0.0, 0.3333, 0.0, 0.0], ""text"": [0.0004, 0.0001, 0.0001, 0.0056, 0.9918, 0.0019, 0.0001]}"
"Umm, this stuffing is amazing. Do you think we should bring them some?",happy,dia143_utt3.mp4,"{""video"": [0.023, 0.0, 0.0345, 0.2069, 0.2184, 0.5172, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.001, 0.0004, 0.0144, 0.0023, 0.2016, 0.7799, 0.0003]}"
"When theyre hungry enough, theyll come in.",neutral,dia143_utt4.mp4,"{""video"": [0.0154, 0.0, 0.0, 0.1462, 0.4615, 0.3692, 0.0077], ""audio"": [0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0], ""text"": [0.0006, 0.0001, 0.0001, 0.0031, 0.8045, 0.0015, 0.1902]}"
"Oh, yeah, this is from Rachel.",neutral,dia144_utt2.mp4,"{""video"": [0.011, 0.0, 0.0, 0.0, 0.0879, 0.9011, 0.0], ""audio"": [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""text"": [0.0001, 0.0001, 0.0001, 0.9954, 0.0034, 0.0007, 0.0001]}"
