gem_id,meaning_representation,target,references
viggo-challenge_train_10_percent-21,"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], esrb[E (for Everyone)], has_mac_release[yes])","By Heroes of Might and Magic III: The Restoration of Erathia, do you mean the E rated game that got a Mac release?","['By Heroes of Might and Magic III: The Restoration of Erathia, do you mean the E rated game that got a Mac release?']"
viggo-challenge_train_10_percent-22,"confirm(name[Need for Speed: The Run], platforms[Nintendo])",Are you talking about Need for Speed: The Run on Nintendo?,['Are you talking about Need for Speed: The Run on Nintendo?']
viggo-challenge_train_10_percent-23,"confirm(name[Shadow of the Tomb Raider], developer[Eidos Montréal], player_perspective[third person])",Are you talking about the Shadow of the Tomb Raider that was created by Eidos Montréal and has a third person perspective?,['Are you talking about the Shadow of the Tomb Raider that was created by Eidos Montréal and has a third person perspective?']
viggo-challenge_train_10_percent-24,"confirm(name[Horizon: Zero Dawn], esrb[T (for Teen)])",Are you speaking of the Horizon: Zero Dawn that got the T rating from the ESRB?,['Are you speaking of the Horizon: Zero Dawn that got the T rating from the ESRB?']
viggo-challenge_train_10_percent-25,"confirm(name[Superhot], release_year[2016], platforms[PlayStation])",Is the Superhot you're referring to the one that came out in 2016 for the PlayStation?,"[""Is the Superhot you're referring to the one that came out in 2016 for the PlayStation?""]"
viggo-challenge_train_10_percent-26,"confirm(name[Diablo II], release_year[2000])","Are you talking about one of my favorite games, Diablo II, that came out in 2000?","['Are you talking about one of my favorite games, Diablo II, that came out in 2000?']"
viggo-challenge_train_10_percent-27,"confirm(name[Superhot], release_year[2016], has_multiplayer[no])",Is the Superhot you're referring to the single-player game that came out in 2016?,"[""Is the Superhot you're referring to the single-player game that came out in 2016?""]"
viggo-challenge_train_10_percent-28,"confirm(name[Tony Hawk's Pro Skater 3], platforms[PC], available_on_steam[no])","You mean Tony Hawk's Pro Skater 3, the PC game that isn't available on Steam?","[""You mean Tony Hawk's Pro Skater 3, the PC game that isn't available on Steam?""]"
viggo-challenge_train_10_percent-29,"confirm(name[Ancient Cities], platforms[PC])","You mean the Ancient Cities that's on the PC, right?","[""You mean the Ancient Cities that's on the PC, right?""]"
viggo-challenge_train_10_percent-30,"confirm(name[Ancient Cities], developer[Uncasual Games], player_perspective[bird view])","Is the Ancient Cities you are talking about the one with the bird view perspective, and developed by Uncasual Games?","['Is the Ancient Cities you are talking about the one with the bird view perspective, and developed by Uncasual Games?']"
viggo-challenge_train_10_percent-31,"give_opinion(name[Undertale], developer[tobyfox], rating[excellent])","I love playing games by tobyfox, they're so fun. Take Undertale, for example.","[""I love playing games by tobyfox, they're so fun. Take Undertale, for example.""]"
viggo-challenge_train_10_percent-32,"give_opinion(name[The Elder Scrolls V: Skyrim], rating[good], platforms[PC], available_on_steam[yes])",I had fun playing The Elder Scrolls V: Skyrim. I generally like playing games from Steam on my PC.,['I had fun playing The Elder Scrolls V: Skyrim. I generally like playing games from Steam on my PC.']
viggo-challenge_train_10_percent-33,"give_opinion(name[Sid Meier's Civilization V], developer[Firaxis Games], rating[good], has_multiplayer[yes])","I like multiplayer games like Sid Meier's Civilization V, and Firaxis Games is one of my favorite developers.","[""I like multiplayer games like Sid Meier's Civilization V, and Firaxis Games is one of my favorite developers.""]"
viggo-challenge_train_10_percent-34,"give_opinion(name[Far Cry 3], rating[good], platforms[PlayStation])","I eventually picked up Far Cry 3 for my PlayStation after hearing of the hype, and thankfully, it's a pretty good game.","[""I eventually picked up Far Cry 3 for my PlayStation after hearing of the hype, and thankfully, it's a pretty good game.""]"
viggo-challenge_train_10_percent-35,"give_opinion(name[Far Cry 3], rating[good], player_perspective[first person])","I liked Far Cry 3, the immersion that you get from the first person experience is unlike any other game.","['I liked Far Cry 3, the immersion that you get from the first person experience is unlike any other game.']"
viggo-challenge_train_10_percent-36,"give_opinion(name[The Room], release_year[2012], rating[excellent], genres[indie, point-and-click, puzzle])",The Room is a downright amazing indie game. 2012 was a great year for point-and-click puzzle games.,['The Room is a downright amazing indie game. 2012 was a great year for point-and-click puzzle games.']
viggo-challenge_train_10_percent-37,"give_opinion(name[The Last of Us], rating[excellent], player_perspective[third person], platforms[PlayStation])","The Last of Us was a truly excellent game. I loved how the third person perspective enhanced the experience, and it being for the PlayStation was an added bonus.","['The Last of Us was a truly excellent game. I loved how the third person perspective enhanced the experience, and it being for the PlayStation was an added bonus.']"
viggo-challenge_train_10_percent-38,"give_opinion(name[NBA 2K16], developer[Visual Concepts], rating[good], genres[sport])",I enjoyed NBA 2K16 quite a bit. Visual Concepts usually does well with sports games.,['I enjoyed NBA 2K16 quite a bit. Visual Concepts usually does well with sports games.']
viggo-challenge_train_10_percent-39,"give_opinion(name[Lara Croft and the Temple of Osiris], rating[average], genres[action-adventure, puzzle, shooter])","Lara Croft and the Temple of Osiris was an okay game I guess. I think that I'm just a bit burnt out on action-adventure puzzle shooters, but I don't find them terrible at least.","[""Lara Croft and the Temple of Osiris was an okay game I guess. I think that I'm just a bit burnt out on action-adventure puzzle shooters, but I don't find them terrible at least.""]"
viggo-challenge_train_10_percent-40,"give_opinion(name[Ori and the Blind Forest], developer[Moon Studios], rating[excellent], has_multiplayer[no])",Ori and the Blind Forest is a home run for Moon Studios. This gorgeous single-player game is among my favorites now.,['Ori and the Blind Forest is a home run for Moon Studios. This gorgeous single-player game is among my favorites now.']
viggo-challenge_train_10_percent-41,"give_opinion(name[Lara Croft and the Temple of Osiris], rating[average], genres[action-adventure, puzzle, shooter])","As an action-adventure puzzle shooter, Lara Croft and the Temple of Osiris had a lot going on. It pulled it off but it's not great.","[""As an action-adventure puzzle shooter, Lara Croft and the Temple of Osiris had a lot going on. It pulled it off but it's not great.""]"
viggo-challenge_train_10_percent-42,"give_opinion(name[Rocket League], release_year[2015], rating[good], genres[sport, vehicular combat])","I normally find vehicular combat sports games to be so-so at best, but 2015 was a surprisingly strong year for gaming and I actually thought Rocket League had something to it.","['I normally find vehicular combat sports games to be so-so at best, but 2015 was a surprisingly strong year for gaming and I actually thought Rocket League had something to it.']"
viggo-challenge_train_10_percent-43,"give_opinion(name[Rocket League], developer[Psyonix], rating[good], player_perspective[third person])",I think Rocket League is a solid game. It is one of the many good third person perspective games developed by Psyonix.,['I think Rocket League is a solid game. It is one of the many good third person perspective games developed by Psyonix.']
viggo-challenge_train_10_percent-44,"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], genres[role-playing, turn-based strategy])",Role-playing games that are turn-based strategy are all played out. Take for example Age of Wonders II: The Wizard's Throne; it's so boring.,"[""Role-playing games that are turn-based strategy are all played out. Take for example Age of Wonders II: The Wizard's Throne; it's so boring.""]"
viggo-challenge_train_10_percent-45,"give_opinion(name[Life is Strange], rating[good], genres[role-playing], player_perspective[third person])","I do like Life is Strange. In fact, I enjoy third person role-playing games generally.","['I do like Life is Strange. In fact, I enjoy third person role-playing games generally.']"
viggo-challenge_train_10_percent-46,"give_opinion(name[Diablo II], developer[Blizzard North], rating[good], has_mac_release[yes])","Diablo II is a good game, I'd say. Blizzard North makes quality content, and the fact that it actually has a Mac release is nice.","[""Diablo II is a good game, I'd say. Blizzard North makes quality content, and the fact that it actually has a Mac release is nice.""]"
viggo-challenge_train_10_percent-47,"give_opinion(name[Metroid Prime Pinball], developer[Fuse Games], rating[average], platforms[Nintendo])","Frankly, I think Metroid Prime Pinball could be somewhat better. Fuse Games had never really excelled in the Nintendo platform.","['Frankly, I think Metroid Prime Pinball could be somewhat better. Fuse Games had never really excelled in the Nintendo platform.']"
viggo-challenge_train_10_percent-48,"give_opinion(name[The Elder Scrolls V: Skyrim], developer[Bethesda Game Studios], rating[good], has_multiplayer[no])","Bethesda Game Studios did a good job with The Elder Scrolls V: Skyrim, the single-player campaign is so much fun.","['Bethesda Game Studios did a good job with The Elder Scrolls V: Skyrim, the single-player campaign is so much fun.']"
viggo-challenge_train_10_percent-49,"give_opinion(name[Super Mario World], rating[excellent], player_perspective[side view], has_multiplayer[yes])",I would rather play Super Mario World than eat or sleep! I can't remember a side view multiplayer game that was more exciting and fun.,"[""I would rather play Super Mario World than eat or sleep! I can't remember a side view multiplayer game that was more exciting and fun.""]"
viggo-challenge_train_10_percent-50,"give_opinion(name[MotorStorm: Apocalypse], rating[poor], has_multiplayer[yes], platforms[PlayStation])","I didn't think MotorStorm: Apocalypse was any good. But then, multiplayer PlayStation games are often boring, in my experience.","[""I didn't think MotorStorm: Apocalypse was any good. But then, multiplayer PlayStation games are often boring, in my experience.""]"
viggo-challenge_train_10_percent-51,"give_opinion(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], rating[average], has_multiplayer[yes])","In my opinion, Sledgehammer Games messed up the multiplayer mode in Call of Duty: Advanced Warfare, though otherwise it was good enough.","['In my opinion, Sledgehammer Games messed up the multiplayer mode in Call of Duty: Advanced Warfare, though otherwise it was good enough.']"
viggo-challenge_train_10_percent-52,"give_opinion(name[Stronghold 2], developer[Firefly Studios], esrb[T (for Teen)], rating[average])","For a game from Firefly Studios, Stronghold 2 is so-so. Not bad for a teen rated game.","['For a game from Firefly Studios, Stronghold 2 is so-so. Not bad for a teen rated game.']"
viggo-challenge_train_10_percent-53,"give_opinion(name[Payday 2], developer[Overkill Software], rating[average], has_multiplayer[yes])","Payday 2 isn't the worst game in the world, I'd say. It's got multiplayer which is always a plus, but Overkill Software just doesn't make games that stand out much.","[""Payday 2 isn't the worst game in the world, I'd say. It's got multiplayer which is always a plus, but Overkill Software just doesn't make games that stand out much.""]"
viggo-challenge_train_10_percent-54,"give_opinion(name[Tom Clancy's Splinter Cell: Chaos Theory], esrb[M (for Mature)], rating[good], genres[action, tactical])",I thought that Tom Clancy's Splinter Cell: Chaos Theory was a pretty fun game. I like tactical action games like it and the M rating meant it didn't need to hold back with its content.,"[""I thought that Tom Clancy's Splinter Cell: Chaos Theory was a pretty fun game. I like tactical action games like it and the M rating meant it didn't need to hold back with its content.""]"
viggo-challenge_train_10_percent-55,"give_opinion(name[MotorStorm: Apocalypse], esrb[T (for Teen)], rating[poor], player_perspective[third person])","MotorStorm: Apocalypse was a dud, to be honest. I feel like this sort of third person game needs an M rating, and it only had a T.","['MotorStorm: Apocalypse was a dud, to be honest. I feel like this sort of third person game needs an M rating, and it only had a T.']"
viggo-challenge_train_10_percent-56,"give_opinion(name[Stronghold 2], rating[average], platforms[PC], has_linux_release[no])","I thought that Stronghold 2 was okay because it was released for PC, but I wish they had released a Linux version.","['I thought that Stronghold 2 was okay because it was released for PC, but I wish they had released a Linux version.']"
viggo-challenge_train_10_percent-57,"give_opinion(name[Portal 2], rating[excellent], player_perspective[first person], has_multiplayer[yes])","I've been having an absolute blast playing Portal 2. First person games are always my favorite, but the multiplayer makes it even better.","[""I've been having an absolute blast playing Portal 2. First person games are always my favorite, but the multiplayer makes it even better.""]"
viggo-challenge_train_10_percent-58,"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], player_perspective[bird view])",I didn't enjoy Age of Wonders II: The Wizard's Throne at all. It's because I just can't stand the bird view perspective the game used.,"[""I didn't enjoy Age of Wonders II: The Wizard's Throne at all. It's because I just can't stand the bird view perspective the game used.""]"
viggo-challenge_train_10_percent-59,"give_opinion(name[Lara Croft and the Temple of Osiris], rating[average], has_multiplayer[yes])",Lara Croft and the Temple of Osiris is an all around average experience briefly elevated by its decent multiplayer,['Lara Croft and the Temple of Osiris is an all around average experience briefly elevated by its decent multiplayer']
viggo-challenge_train_10_percent-60,"give_opinion(name[Mirror's Edge Catalyst], rating[average], player_perspective[first person], platforms[PlayStation])","Man, I thought Mirror's Edge Catalyst could have been so much better as a first person game for the PlayStation.","[""Man, I thought Mirror's Edge Catalyst could have been so much better as a first person game for the PlayStation.""]"
viggo-challenge_train_10_percent-61,"give_opinion(name[Quantum Break], developer[Remedy Entertainment], rating[average])","I've never played a game from Remedy Entertainment that I really loved. Take Quantum Break, for example, it's decent but not great.","[""I've never played a game from Remedy Entertainment that I really loved. Take Quantum Break, for example, it's decent but not great.""]"
viggo-challenge_train_10_percent-62,"give_opinion(name[World of Warcraft], release_year[2004], rating[good])","World of Warcraft is a very good game, even considering it launched in 2004.","['World of Warcraft is a very good game, even considering it launched in 2004.']"
viggo-challenge_train_10_percent-63,"give_opinion(name[Madden NFL 15], rating[average], platforms[Xbox])","Madden NFL 15 is a decent game, but Xbox just isn't my favorite platform.","[""Madden NFL 15 is a decent game, but Xbox just isn't my favorite platform.""]"
viggo-challenge_train_10_percent-64,"give_opinion(name[Madden NFL 15], release_year[2014], rating[average])",Madden NFL 15 was a pretty average sports game for 2014.,['Madden NFL 15 was a pretty average sports game for 2014.']
viggo-challenge_train_10_percent-65,"give_opinion(name[The Wolf Among Us], developer[Telltale Games], rating[good], platforms[PC])",I thought The Wolf Among Us was pretty good. The developer Telltale Games just knows how to make a quality PC game.,['I thought The Wolf Among Us was pretty good. The developer Telltale Games just knows how to make a quality PC game.']
viggo-challenge_train_10_percent-66,"give_opinion(name[Metroid Prime Pinball], rating[average], genres[pinball, puzzle], has_multiplayer[yes])",Metroid Prime Pinball is a pretty average multiplayer game in the pinball puzzle genre.,['Metroid Prime Pinball is a pretty average multiplayer game in the pinball puzzle genre.']
viggo-challenge_train_10_percent-67,"give_opinion(name[Rocket League], rating[good], genres[sport, vehicular combat], has_multiplayer[yes])","I think that vehicular combat sports games can be fun as long as they have multiplayer, which is why I enjoy Rocket League.","['I think that vehicular combat sports games can be fun as long as they have multiplayer, which is why I enjoy Rocket League.']"
viggo-challenge_train_10_percent-68,"give_opinion(name[SpellForce 3], developer[Grimlore Games], rating[poor], available_on_steam[yes])","I'm not a big fan of games by Grimlore Games on Steam. SpellForce 3, for example, was a plain torture to play through.","[""I'm not a big fan of games by Grimlore Games on Steam. SpellForce 3, for example, was a plain torture to play through.""]"
viggo-challenge_train_10_percent-69,"give_opinion(name[Guitar Hero: Smash Hits], developer[Beenox], rating[poor])",Guitar Hero: Smash Hits is just not my kind of game. I find Beenox games are often not very fun.,['Guitar Hero: Smash Hits is just not my kind of game. I find Beenox games are often not very fun.']
viggo-challenge_train_10_percent-70,"give_opinion(name[Metroid Prime Pinball], release_year[2005], rating[average], genres[pinball, puzzle])","Metroid Prime Pinball is just okay. I usually like games released in 2005, since that was a strong year, but I'm not really a big fan of puzzle pinball games.","[""Metroid Prime Pinball is just okay. I usually like games released in 2005, since that was a strong year, but I'm not really a big fan of puzzle pinball games.""]"
viggo-challenge_train_10_percent-71,"give_opinion(name[Payday 2], esrb[M (for Mature)], rating[average], genres[role-playing, shooter])","I like gritty M rated RPGs, but the shooter elements in Payday 2 held it back and I was left feeling it was just okay.","['I like gritty M rated RPGs, but the shooter elements in Payday 2 held it back and I was left feeling it was just okay.']"
viggo-challenge_train_10_percent-72,"give_opinion(name[Call of Duty: Advanced Warfare], rating[average], player_perspective[first person], platforms[PlayStation])","Call of Duty: Advanced Warfare was just plain average. I like games that are on the PlayStation normally, but the first person perspective made the experience kind of mediocre.","['Call of Duty: Advanced Warfare was just plain average. I like games that are on the PlayStation normally, but the first person perspective made the experience kind of mediocre.']"
viggo-challenge_train_10_percent-73,"give_opinion(name[Tom Clancy's Splinter Cell: Chaos Theory], rating[good], genres[action, tactical], has_multiplayer[yes])",I'm pretty into Tom Clancy's Splinter Cell: Chaos Theory. I've always been a fan of multiplayer tactical action games.,"[""I'm pretty into Tom Clancy's Splinter Cell: Chaos Theory. I've always been a fan of multiplayer tactical action games.""]"
viggo-challenge_train_10_percent-74,"give_opinion(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE], rating[average], genres[action-adventure, fighting])",EA Digital Illusions CE gets a solid C for this entry into the action-adventure fighting game genre. Mirror's Edge Catalyst is nothing special.,"[""EA Digital Illusions CE gets a solid C for this entry into the action-adventure fighting game genre. Mirror's Edge Catalyst is nothing special.""]"
viggo-challenge_train_10_percent-75,"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], has_mac_release[no])","Age of Wonders II: The Wizard's Throne didn't come to Mac, but that's alright, because the game is pretty terrible anyway.","[""Age of Wonders II: The Wizard's Throne didn't come to Mac, but that's alright, because the game is pretty terrible anyway.""]"
viggo-challenge_train_10_percent-76,"give_opinion(name[Quantum Break], developer[Remedy Entertainment], rating[average])","Quantum Break is an OK game from an okay developer, Remedy Entertainment.","['Quantum Break is an OK game from an okay developer, Remedy Entertainment.']"
viggo-challenge_train_10_percent-77,"give_opinion(name[Silent Hill 2], rating[excellent], platforms[PC])",PC is the best platform because we get games like Silent Hill 2.,['PC is the best platform because we get games like Silent Hill 2.']
viggo-challenge_train_10_percent-78,"give_opinion(name[The Last of Us], rating[excellent], player_perspective[third person], has_multiplayer[yes])",I loved The Last of Us. Third person multiplayer games are always super fun.,['I loved The Last of Us. Third person multiplayer games are always super fun.']
viggo-challenge_train_10_percent-79,"give_opinion(name[Diablo II], developer[Blizzard North], rating[good], genres[hack-and-slash, role-playing])",Diablo II from Blizzard North is a good game and a nice example of the hack-and-slash role playing genre.,['Diablo II from Blizzard North is a good game and a nice example of the hack-and-slash role playing genre.']
viggo-challenge_train_10_percent-80,"give_opinion(name[Silent Hill 2], developer[Konami Computer Entertainment Tokyo], rating[excellent])","I love Silent Hill 2, just like most Konami Computer Entertainment Tokyo games.","['I love Silent Hill 2, just like most Konami Computer Entertainment Tokyo games.']"
viggo-challenge_train_10_percent-81,"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], has_mac_release[no])","Age of Wonders II: The Wizard's Throne doesn't have a Mac release, but that's OK since it's not a good game anyway.","[""Age of Wonders II: The Wizard's Throne doesn't have a Mac release, but that's OK since it's not a good game anyway.""]"
viggo-challenge_train_10_percent-82,"give_opinion(name[Sid Meier's Civilization V], rating[good], has_linux_release[yes], has_mac_release[yes])","I think Sid Meier's Civilization V is pretty good. It's a game I can play on both Mac and Linux, which is very nice to have.","[""I think Sid Meier's Civilization V is pretty good. It's a game I can play on both Mac and Linux, which is very nice to have.""]"
viggo-challenge_train_10_percent-83,"give_opinion(name[The Wolf Among Us], rating[good], genres[adventure, point-and-click], available_on_steam[yes])","The Wolf Among Us is a pretty fun game. I've always enjoyed point-and-click adventure games like it, and it being available on Steam is a nice bonus.","[""The Wolf Among Us is a pretty fun game. I've always enjoyed point-and-click adventure games like it, and it being available on Steam is a nice bonus.""]"
viggo-challenge_train_10_percent-84,"inform(name[NBA 2K19], exp_release_date[September 11, 2018], developer[Visual Concepts], genres[sport], platforms[PlayStation, Xbox, Nintendo Switch, PC])","NBA 2K19 is a sport game developed by Visual Concepts. It is set to release on September 11, 2018 for PlayStation, Xbox, Nintendo Switch, and PC.","['NBA 2K19 is a sport game developed by Visual Concepts. It is set to release on September 11, 2018 for PlayStation, Xbox, Nintendo Switch, and PC.']"
viggo-challenge_train_10_percent-85,"inform(name[World of Warcraft], esrb[T (for Teen)], rating[good], genres[adventure, MMORPG], platforms[PC], has_linux_release[no], has_mac_release[yes])",World of Warcraft is a good adventure MMORPG game for PC and Mac. It's not available for Linux. The game is rated T (for Teen).,"[""World of Warcraft is a good adventure MMORPG game for PC and Mac. It's not available for Linux. The game is rated T (for Teen).""]"
viggo-challenge_train_10_percent-86,"inform(name[Payday 2], genres[role-playing, shooter], player_perspective[first person], has_multiplayer[yes])","Payday 2 is a role-playing, first person shooter that can be played in multiplayer with your friends.","['Payday 2 is a role-playing, first person shooter that can be played in multiplayer with your friends.']"
viggo-challenge_train_10_percent-87,"inform(name[Rollcage], genres[action, driving/racing], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[no])",Rollcage is an action racing game. It's available on PlayStation and PC but has no Linux or Mac releases.,"[""Rollcage is an action racing game. It's available on PlayStation and PC but has no Linux or Mac releases.""]"
viggo-challenge_train_10_percent-88,"inform(name[Tomb Raider: The Angel of Darkness], esrb[T (for Teen)], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[no])","Tomb Raider: The Angel of Darkness is a action-adventure, shooter game. It sports the third person perspective and does not support multiplayer. It is rated T (for Teen).","['Tomb Raider: The Angel of Darkness is a action-adventure, shooter game. It sports the third person perspective and does not support multiplayer. It is rated T (for Teen).']"
viggo-challenge_train_10_percent-89,"inform(name[Stronghold 2], release_year[2005], genres[real-time strategy, simulation], has_multiplayer[yes])",Stronghold 2 is a real-time strategy simulation game released in 2005 with multiplayer support.,['Stronghold 2 is a real-time strategy simulation game released in 2005 with multiplayer support.']
viggo-challenge_train_10_percent-90,"inform(name[Need for Speed: The Run], release_year[2011], rating[average], genres[driving/racing], player_perspective[first person, third person], platforms[PlayStation, Xbox, Nintendo, PC], available_on_steam[no])","Need for Speed: The Run is an average driving/racing game. This came out in 2011 and can be played on PlayStation, Nintendo, PC or Xbox. This game is not available on Steam and can be played in either third person or first person.","['Need for Speed: The Run is an average driving/racing game. This came out in 2011 and can be played on PlayStation, Nintendo, PC or Xbox. This game is not available on Steam and can be played in either third person or first person.']"
viggo-challenge_train_10_percent-91,"inform(name[Age of Wonders II: The Wizard's Throne], release_year[2002], rating[poor], genres[role-playing, turn-based strategy], platforms[PC], has_linux_release[no], has_mac_release[no])",Age of Wonders II: The Wizard's Throne is a pretty bad turn-based role-playing strategy game from 2002. It was only released on PC--no Mac or Linux.,"[""Age of Wonders II: The Wizard's Throne is a pretty bad turn-based role-playing strategy game from 2002. It was only released on PC--no Mac or Linux.""]"
viggo-challenge_train_10_percent-92,"inform(name[Stronghold 2], developer[Firefly Studios], genres[real-time strategy, simulation], platforms[PC], has_linux_release[no], has_mac_release[no])","Stronghold 2 by Firefly Studios is a real-time strategy simulation game for PC, but it is not supported on Linux or Mac.","['Stronghold 2 by Firefly Studios is a real-time strategy simulation game for PC, but it is not supported on Linux or Mac.']"
viggo-challenge_train_10_percent-93,"inform(name[Trivial Pursuit], release_year[2009], rating[poor], genres[trivia/board game])","Trivial Pursuit came out back in 2009 and it got mostly negative reviews. It's a board game where you answer trivia questions, and it's not very well-executed.","[""Trivial Pursuit came out back in 2009 and it got mostly negative reviews. It's a board game where you answer trivia questions, and it's not very well-executed.""]"
viggo-challenge_train_10_percent-94,"inform(name[NBA 2K19], exp_release_date[September 11, 2018], genres[sport], platforms[PlayStation, Xbox, Nintendo Switch, PC])","NBA 2K19 is an NBA basketball sports games poised to be released across all platforms on September 11, 2018. To be specific, this game will be released for PlayStation, Xbox, Nintendo Switch, and PC.","['NBA 2K19 is an NBA basketball sports games poised to be released across all platforms on September 11, 2018. To be specific, this game will be released for PlayStation, Xbox, Nintendo Switch, and PC.']"
viggo-challenge_train_10_percent-95,"inform(name[The Room], release_year[2012], rating[excellent], genres[indie, point-and-click, puzzle])",The Room is an excellent indie point-and-click puzzle game released in 2012.,['The Room is an excellent indie point-and-click puzzle game released in 2012.']
