signature;file_name;formID;editorID;text_content;content_source;name;topic;quest;topLevelPath;additional_content;speaker
NOTE;FalloutNV.esm;00166B64;HVLorenzoJournal03;The Elder has asked me to provide a list of possible locations for the components needed. Unfortunately, our reconnaissance of the area is lacking due to Elijah's insistence that we concentrate all efforts on HELIOS. Ibsen and I have managed to retrieve some information from the datastore on sites of potential interest, but they are mostly military and industrial locations. If only I knew if there are other bunkers, or even one of those old RobCo vaults in the area!;TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [17] HVLorenzoJournal03 [NOTE:00166B64];;
NOTE;FalloutNV.esm;00166B63;HVSchulerNote03;"Damn that Taggart! I got stuck scheduling the junior scribes' experiments again! It's bad enough that we're stuck down here with one another, but of all the Brotherhood Scribes in the waste I get stuck with a lecherous scatterbrain for a boss.

Perhaps Hardin is right. Maybe it IS time for a change.";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [18] HVSchulerNote03 [NOTE:00166B63];;
NOTE;FalloutNV.esm;00166B62;HVSchulerNote02;Nothing much to report this week. Just a few cases of mild respiratory problems. Come to think of it, there were a number of respiratory problems last week, too. I should talk to Lorenzo. Maybe something's breaking down.;TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [19] HVSchulerNote02 [NOTE:00166B62];;
NOTE;FalloutNV.esm;00166B61;HVSchulerNote01;"It's been a hard day. I think I lost more than twice as many as I saved. At a guess, I'd say we've lost a little over half our number, and all for some broken down solar energy station that barely works. I think if Elder Elijah hadn't gone missing I might have refused to treat him. Would have served the prick right.

Edit: God, I haven't looked over these in a while. I remember writing this like it was yesterday. Who would have imagined I'd spend the next few years of my life trapped underground?";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [20] HVSchulerNote01 [NOTE:00166B61];;
NOTE;FalloutNV.esm;00166B60;HVLorenzoJournal02;I have just discovered something horrifying. If my projections are right, we must-- but I shouldn't get ahead of myself. The Elder will know what to do. He must.;TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [21] HVLorenzoJournal02 [NOTE:00166B60];;
NOTE;FalloutNV.esm;00166B5F;HVLorenzoJournal01;This is maddening! All of my research thus far points to a company called Poseidon Energy as having experimented far beyond the capabilities of our current power armor and weapons. It is possible they were behind the development of the equipment the Enclave used as well. Why then have we found numerous caches of military-grade equipment throughout the wastes, and nothing from this company?;TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [22] HVLorenzoJournal01 [NOTE:00166B5F];;
NOTE;FalloutNV.esm;00166B5E;HVRamosJournal05;"People are really starting to get antsy around here. I've had to break up three fights this week alone. If the lockdown continues for much longer, p-

Hold that thought, I've got what looks to be one of our patrols returning. Only one of them, though. There must've been trouble.";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [23] HVRamosJournal05 [NOTE:00166B5E];;
NOTE;FalloutNV.esm;00166B5D;HVRamosJournal04;"People are really starting to get antsy around here. I've had to break up three fights this week alone. If the lockdown continues for much longer, p-

Hold that thought, I've got Veronica and a stranger approaching the outer door. She's not scheduled back yet, but that's never stopped her before, I suppose...";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [24] HVRamosJournal04 [NOTE:00166B5D];;
NOTE;FalloutNV.esm;00166B5C;HVRamosJournal03;"People are really starting to get antsy around here. I've had to break up three fights this week alone. If the lockdown continues for much longer, p-

Hold that thought, I've got a stranger approaching the outer door. Might have to do a meet and greet.";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [25] HVRamosJournal03 [NOTE:00166B5C];;
NOTE;FalloutNV.esm;00166B5B;HVRamosJournal02;A few of our best men headed out around the same time as the patrols without my knowing about it. When I asked the Elder, he said they were on an important mission. Too important to tell his Chief of Security about? Something's up...;TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [26] HVRamosJournal02 [NOTE:00166B5B];;
NOTE;FalloutNV.esm;00166B31;CampSearchlightChiefFireOfficer;"Chief Fire Officer Report No. F1-218

The local police department diverted several trucks from San Onofre carrying nuclear waste to Searchlight this morning.  I didn't get all of the details but I heard something about bombs going off nearby and that the trucks were being diverted for safety reasons.  Two of them were housed here at the Fire Station.  The third had to continue on to somewhere else because we didn't have enough room to accommodate them all.  For some odd reason it was headed toward Cottonwood Cove. I don't know what he's planning on doing with it down there.
";TNAM - Text / Topic;Chief Fire Officer Report;Text;; \ [00] FalloutNV.esm \ [44] Note \ [27] CampSearchlightChiefFireOfficer [NOTE:00166B31];;
NOTE;FalloutNV.esm;001669B0;V19MedNote05;"Male, Age: 27
Patient brought in by police. Patient claims to be hearing voices taunting him. Patient claimed that he, at one point, believed these voices were coming from his grandfather's radio. The patient now believes that the voices are coming from within himself and he is eager for help.";TNAM - Text / Topic;Patient 3905698;Text;; \ [00] FalloutNV.esm \ [44] Note \ [28] V19MedNote05 [NOTE:001669B0];;
NOTE;FalloutNV.esm;001669AF;V19MedNote04;"Male, Age: 34
Patient brought in by the police. This is the ninth occurrence of such and we are now seeking extended residence for the patient within our facility.";TNAM - Text / Topic;Patient 6585645;Text;; \ [00] FalloutNV.esm \ [44] Note \ [29] V19MedNote04 [NOTE:001669AF];;
NOTE;FalloutNV.esm;001669AE;V19MedNote03;"Male, Age: 31
1687865 often misinterprets other's actions as hostile. He perceives friendly interactions with nurses as patronizing. We've also noticed that the longer other patients remain in contact with 1687865 the more readily they are to act aggressively towards him (due to 1687865's defensive nature) thus reinforcing 1687865's perceived hostility.";TNAM - Text / Topic;Patient 1687865;Text;; \ [00] FalloutNV.esm \ [44] Note \ [30] V19MedNote03 [NOTE:001669AE];;
NOTE;FalloutNV.esm;001669AD;V19MedNote02;"Male, Age: 22
Patient came to use claiming to be insane. Patient claimed he would often get the feeling of being 'outside' himself. This feeling was so intense that it would cause the patient to be off balance during episodes. Navigation through the clinic often difficult for him to achieve with out causing accidents.";TNAM - Text / Topic;Patient 5498465;Text;; \ [00] FalloutNV.esm \ [44] Note \ [31] V19MedNote02 [NOTE:001669AD];;
NOTE;FalloutNV.esm;001669AC;V19MedNote01;"Female, Age: 24
Patient came seeking treatment for 'panic attacks'. Patient claims to often experience moments of extreme terror out of nowhere and that they often wake her from her sleep.";TNAM - Text / Topic;Patient 1648654;Text;; \ [00] FalloutNV.esm \ [44] Note \ [32] V19MedNote01 [NOTE:001669AC];;
NOTE;FalloutNV.esm;00166661;vConcessionMrHouse;"Upon further reflection, I have determined that it is my best interests, and the best interests of the New California Republic, to transfer sovereignty of the Vegas Strip to the NCR. 

If all terms are agreed upon, annexation would occur one year from today.

a) I am to be granted full status as a citizen of the NCR and immunity from prosecution for any activities prior to annexation.

b) I will be recognized as the sole proprietor of the Vegas Strip, a commercial property.

c) I will be subject to all laws of the NCR, including personal and property taxes.

d) NCR functionaries will police the Strip; I will retire my Securitron police force and limit their movement to the grounds and interior of the Lucky 38.

Please confirm that these terms are agreeable. I do not foresee any objections on your part. 

Robert Edwin House
President, CEO, and Sole Proprietor
The New Vegas Strip
";TNAM - Text / Topic;Offer to Permit Annexation;Text;; \ [00] FalloutNV.esm \ [44] Note \ [33] vConcessionMrHouse [NOTE:00166661];;
NOTE;FalloutNV.esm;00166660;vObituaryMrHouse;"Robert Edwin House, 261, President, CEO, and sole proprietor of the New Vegas Strip, industrialist and technologist, founder, President, and CEO of the multi-billion-dollar pre-war robotics and software corporation, RobCo Industries, has died.

Generally recognized by Mr. House to be mankind's only hope of long-term survival, Mr. House's passing may well sound a death knell for the entire human race. 

Lost forever is his bounty of knowledge concerning human longevity, the depth and breadth of which could, as he was apt to say, ""fill several text books."" He was not exaggerating. Though he did not achieve his goal of functional immortality, let us not forget that he died at the age of 261. How many people do that? I mean, come on.

Also lost forever are House's singular personality, force of will, vision, and leadership ability. The probability of an equally capable figure emerging from the current human population to lead mankind to a future of equivalent quality is less than 0.000112% by objective measures too complex to detail in this obituary.

Personality and force of will: Born June 25th, 2020, House was orphaned at an early age when his parents died in a freak accident (auto gyro, lightning). Though cheated of his inheritance, House attended the prestigious Institute in Massachusetts and founded RobCo Industries on his 22nd birthday. Within five years, it was one of the most profitable corporations on Earth.

Vision: By 2065, House was certain that an atomic war would soon devastate the planet. At great personal expense, he developed technologies to ensure the structural integrity of the city of Las Vegas (as it was known at the time). On the day of the great war, 77 atomic warheads targeted the city. Mr. House defeated them all. Talk about vision!

Leadership: Mr. House survived the war, of course, and would later recruit the Three Families, negotiate the Treaty of New Vegas, and rebuild the Vegas Strip. While these achievements yielded many immediate benefits, they were all part of House's master plan to re-ignite mankind's quest for technological advancement, a plan without which the human race has nowhere to go, and nowhere to turn.

/// Will revise and finish this up later. Have set the age at death to update automatically. Obit makes salient points but ""pearls before swine,"" of course. Let's hope the ingrates never have cause to read it. Who knows how many of them are even literate!";TNAM - Text / Topic;A Tragedy Has Befallen All Mankind;Text;; \ [00] FalloutNV.esm \ [44] Note \ [34] vObituaryMrHouse [NOTE:00166660];;
NOTE;FalloutNV.esm;0016665F;vBennyLoveNote;"Pussycat - 

Thanks for showing this cat the best hey-hey he's ever-ever! Talk about platinum in the sack, toots! Where'd you learn that 18 karat trick with the heels of your feet? You didn't just make my toes curl - they popped off and rolled under the bed!

I wish I could stay for another round, but this gent's got places to be, things to do. You showing up has forced my hand, baby! The time to act is now!

I won't be around for a while, but if everything works out right, you and me are a date, got it? Wouldn't miss it for all the caps in Vegas.

Now don't get clingy and try to follow me. 

Ciao, 

Benny
";TNAM - Text / Topic;Thanks, baby;Text;; \ [00] FalloutNV.esm \ [44] Note \ [35] vBennyLoveNote [NOTE:0016665F];;
NOTE;FalloutNV.esm;00164E1E;VNCREmbassyLog4;"NCR Strip Gang Report #04-32-B27
The Strip - Omerta Activity

The receptionist at Gomorrah has proved invaluable for her services. Most of her tips have been fairly minor, however she did help us intercept a shipment of drugs as they were coming through Freeside.

We don't currently have any pending investigations, but she will receive a few ""prepayments"" for information. That should keep her fairly supple if the need arises to go to her for a tip in the future.

-end-";TNAM - Text / Topic;Stril Gang Report;Text;; \ [00] FalloutNV.esm \ [44] Note \ [36] VNCREmbassyLog4 [NOTE:00164E1E];;
NOTE;FalloutNV.esm;001645EB;HVSelfDestructAborted;Self-destruct sequence aborted.;TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [37] HVSelfDestructAborted [NOTE:001645EB];;
NOTE;FalloutNV.esm;001645EA;HVSelfDestructConfirmed;Self-destruct sequence initiated. Please exit the bunker in a calm, orderly fashion.;TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [38] HVSelfDestructConfirmed [NOTE:001645EA];;
NOTE;FalloutNV.esm;001645E9;HVSelfDestructPassword;From my cold, dead hands.;TNAM - Text / Topic;Hidden Valley Self-destruct Password;Text;; \ [00] FalloutNV.esm \ [44] Note \ [39] HVSelfDestructPassword [NOTE:001645E9];;
NOTE;FalloutNV.esm;0016400A;VCFHMandateNote;"DELIVER STATION Camp Forlorn Hope
FOR Polatli, Joseph (Major) OR HIGHEST RANKING OFFICER

READ IMMEDIATELY, THIS CONCERNS TROOP REASSIGNMENTS

Major, 

You and I are well aware of the situation you're in, so I apologize in advance for the contents of this letter. Due to Camp Forlorn Hope's position as a high alert combat zone and the exceedingly high mortality rate of troopers assigned there, you are hereby ordered to pull all female NCR personnel (including non-combatants) from the field and give them marching orders to Camp McCarran for reassignment. Absolutely no female NCR personnel are to be stationed at Camp Forlorn Hope until further notification.

You will not be assigned replacements until High Command can figure out where the hell to pull replacements from.

You have my sympathies, Major. 

Signed,

Scheppman, Andy
Assignments Office

ORDER AUTHORIZATION 10328487



";TNAM - Text / Topic;Forlorn Hope Mandate;Text;; \ [00] FalloutNV.esm \ [44] Note \ [40] VCFHMandateNote [NOTE:0016400A];;
NOTE;FalloutNV.esm;00164009;VCFHSniperNote;"DELIVER STATION Camp Forlorn Hope
FOR Polatli, Joseph (Major) OR HIGHEST RANKING OFFICER

Major, 

This is to inform you that a small sniper nest has been successfully set up near Cottonwood Cove as requested. The nest should have some bedding and a small amount of supplies, but no weaponry.

The sniper should be forewarned that the position is close to the enemy camp and upon completing his or her objective, should get the fuck out of there as soon as flamingly possible.  

The coordinates are: 12, -22

Good luck and good hunting.

Signed,
De Leon, David
Field Preparations Division";TNAM - Text / Topic;Sniper Nest Location;Text;; \ [00] FalloutNV.esm \ [44] Note \ [41] VCFHSniperNote [NOTE:00164009];;
NOTE;FalloutNV.esm;00163E50;CrimsonCaravanNote04;"McCarran has requested more frequent supply runs to their outlying outposts. I've been able to negotiate additional terms in our favor, but I may need to lower our hiring standards to meet the demand. I'm already concerned about the reliability of some of the caravaneers. Were it not for the work contracts, I know some of them would have run off a long time ago.

Nobody seems to believe in hard work anymore.";TNAM - Text / Topic;War Effort;Text;; \ [00] FalloutNV.esm \ [44] Note \ [42] CrimsonCaravanNote04 [NOTE:00163E50];;
NOTE;FalloutNV.esm;00163E4F;CrimsonCaravanNote03;"Alice -

Your push for a new tariff on Gun Runner weapons didn't make it past the Senate. They've got too much pull in California. We're going to have to find some other way to get the upper hand in the weapons market.

- Jason Tagg, Modoc Branch Manager";TNAM - Text / Topic;Gun Runner Tariff;Text;; \ [00] FalloutNV.esm \ [44] Note \ [43] CrimsonCaravanNote03 [NOTE:00163E4F];;
NOTE;FalloutNV.esm;00163E4E;CrimsonCaravanNote02;"Efforts to ""encourage"" Henry Jamison to resign have so far failed. His parents are proving stubborn as well - obviously, they don't want him around anymore than I do. Getting the New Vegas branch up and running should have been a simple job for him, but this place is still as crude and primitive as any frontier branch. Very irritating.";TNAM - Text / Topic;Re: Henry Jamison;Text;; \ [00] FalloutNV.esm \ [44] Note \ [44] CrimsonCaravanNote02 [NOTE:00163E4E];;
NOTE;FalloutNV.esm;00163E4D;CrimsonCaravanNote01;"The Mormons are warming up to the idea of a Crimson Caravan branch being established in New Canaan. Naturally, the taxes are such that we'll be at a severe disadvantage to their own caravans. 

The long-term solution is to overwhelm them with a flood of cheap NCR goods. I'll have to call in some favors with our contacts back in California, but the potential profit margins are worth it.";TNAM - Text / Topic;New Canaan Branch Proposal;Text;; \ [00] FalloutNV.esm \ [44] Note \ [45] CrimsonCaravanNote01 [NOTE:00163E4D];;
NOTE;FalloutNV.esm;001633DE;HVDatastoreElderNote02;"> Be it known that from this day, Kenneth Jones shall no longer bear the title of Elder. Brother Jones has willfully gone against the Chain That Binds and has been forced to step down. Head Paladin Lindquist succeeds him as Elder.

Head Scribe Morgan";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [46] HVDatastoreElderNote02 [NOTE:001633DE];;
NOTE;FalloutNV.esm;001633DD;HVDatastoreElderNote04;"> Let it be added to the annals that Nolan McNamara was removed from the position of Elder due to his disregard for the Chain That Binds. In his stead, Head Paladin Hardin has assumed the role and shall lead the Mojave Chapter of the Brotherhood from this point forward.

Senior Scribe Schuler";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [47] HVDatastoreElderNote04 [NOTE:001633DD];;
NOTE;FalloutNV.esm;001633DC;HVDatastoreElderNote01;"> Let it be recorded that on this day, Raymond Lorn was dismissed from his post as Elder for committing the crime of murder. Brother Lorn was known to have hostile feelings toward the victim, Senior Scribe Ritter. The guilty party insists that Ritter's death was a tragic case of friendly fire (the bunker was under attack at the time), but the tribunal felt they could not let him persist as Elder with such suspicion hanging over him.

Head Scribe Bucek";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [48] HVDatastoreElderNote01 [NOTE:001633DC];;
NOTE;FalloutNV.esm;001633DB;HVDatastoreElderNote03;"> Let the record show that I have stood witness to the dismissal of David James from the post of Elder. Brother James was charged with destroying an unknown device recovered from a recent expedition. The purpose and function of the device remain unknown, and Brother James has thus far proven unwilling to discuss the matter with anyone.

Head Scribe Talwin";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [49] HVDatastoreElderNote03 [NOTE:001633DB];;
NOTE;FalloutNV.esm;001632E9;HVDatastoreChainNote;"> The Chain That Binds is the cornerstone of our organization, the rock that supports the great tree of the Brotherhood and its myriad branches. It holds that:

1. Orders are to flow from on high down through the ranks. An order from a superior must always be obeyed, that their wisdom may be carried out without hesitation.

2. Orders are to observe the flow and not skip ranks. A superior may only give orders to his direct subordinates, and not to those beneath them. In this way harmony of intent and cohesion of thought is maintained.";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [50] HVDatastoreChainNote [NOTE:001632E9];;
NOTE;FalloutNV.esm;001632E8;V22FilterInventoryNote;"Current Inventory for Storage Room 2:

14 Nitrogen Canisters
02 Pressure Valves
08 Dispersal Nozzles
06 Cartridge Filters (HEPA 20)
26 FRP Piping (2m)";TNAM - Text / Topic;;Text;; \ [00] FalloutNV.esm \ [44] Note \ [51] V22FilterInventoryNote [NOTE:001632E8];;
NOTE;FalloutNV.esm;00162C93;CaravanRulesNote;"BUILDING A DECK
Caravan decks are comprised of at least 30 cards from one or more traditional playing card sets. The deck may have any number of cards of any type that suits a player's strategy, although it cannot have duplicate cards from the same set. For example, a King of Spades from Set A and a King of Spades from the Set B deck is acceptable, but more than one King of Spades from Set A would be illegal.

RULES
Caravan is played with two players building three opposing piles (or ""caravans"") of numbered cards. The goal is to outbid your opponent's caravan with the highest value of numbered cards without being too light (under 21) or overburdened (over 26).

The game begins with each player taking eight cards from their deck and placing either one numerical card or ace on each caravan. Players may not discard during this initial round.

Once both players have started their three caravans, each player may do ONE of the following on their turn: 
1. Play one card and draw a new card from his or her deck to their hand.
2. Discard one card from their hand and draw a new card from his or her deck.
3. Disband one of their three caravans by removing all cards from that pile.

Caravans have a direction, either ascending or descending numerically, and a suit. The suit is determined with the first card placed on a caravan, the direction by the second. All subsequent cards must continue the numerical direction or match the suit of the previous card. Cards of the same numerical value cannot be played in sequence, regardless of suit. Face cards can be attached to numeric cards in any caravan and affects them in various ways.

CARD VALUES
Joker: Played against ace, 2-10. Effects change based on whether it's an ace or a numbered card (see below). Multiple jokers may be played on the same card.

Ace: Value of 1. Jokers played on aces remove all other non-face cards of the ace's suit from the table. E.g. a joker played on an Ace of Spades removes all spades (except face cards and that card, specifically) from the table.

2-10: Listed value. Jokers played on these cards remove all other cards of this value from the table. E.g. a joker played on a 4 of Hearts removes all 4s (other than that card, specifically) from the table.

Jack: Played against ace, 2-10. Removes that card, along with any face cards attached to it.

Queen: Played against ace, 2-10. Reverses the current direction of the hand and changes the current suit of the hand. Multiple queens may be played on the same card.

King: Played against ace, 2-10. Adds the value of that card again. E.g. a king played on a 9 adds 9 to that hand. Multiple kings may be played on the same card for multiplicative effects. E.g. 4+ king = 8. 4 + 2 kings = 16.

WINNING
A player's caravan is considered sold when the value of its cards is over 20 and under 27. The other player may still outbid by increasing the value of their opposing pile while staying within the 21-26 range. When each of the three competing caravans has sold, the game is over. In the event that one of the three caravan values are tied between players, the game continues until all three caravans have sold. The player with two or more sales wins the pot.";TNAM - Text / Topic;How To Play Caravan;Text;; \ [00] FalloutNV.esm \ [44] Note \ [52] CaravanRulesNote [NOTE:00162C93];;
NOTE;FalloutNV.esm;00162B5C;VStripGamblerNote07;"Those gangsters at the Tops cheated me. I know it, they're cheats and liars and thieves, their games are rigged. I've lost every last cap, every NCR bill I had left. Those slot machines, you can never win. They're programmed to just make you lose lose lose. Their cards are marked so their dealers can cheat you, I promise you this. Invisible ink or something. And their roulette tables? Please, what a joke. The ball must be magnetic, and they can tell it to land wherever they want. The people that do win there are plants, employees. There's no way I could have lost like that unless they were cheating, no way. No way.

Those fancy suits can't buy them class, they're just a bunch of damn con men. They've taken everything from me. I have nothing left. Nothing...

What am I going to do? I was supposed to win big here, this is where dreams happen. People told me I could make a fortune here, I just had to have the caps, and I could win myself a new future, now it's all gone, all gone...";TNAM - Text / Topic;Strip Letter 7;Text;; \ [00] FalloutNV.esm \ [44] Note \ [53] VStripGamblerNote07 [NOTE:00162B5C];;
